sample_id,output_sdf_path,source_ligand_sdf_path,bond_endpoint_a,bond_endpoint_b,action_applied,expected_old_bond_type,expected_new_bond_type,raw_current_bond_type,repaired_current_bond_type,bond_change_matches_action,coordinate_hash_same,raw_sdf_hash_same,touched_unresolved_boundary,qa_status,qa_error
KRAS_G12C_6OIM,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_6OIM_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_6OIM_MOV.sdf,30,31,blocked,single,single,single,single,true,true,true,false,passed,
KRAS_G12C_6OIM,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_6OIM_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_6OIM_MOV.sdf,30,32,blocked,single,single,single,single,true,true,true,false,passed,
KRAS_G12C_6OIM,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_6OIM_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_6OIM_MOV.sdf,32,33,blocked,single,single,single,single,true,true,true,false,passed,
KRAS_G12C_6OIM,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_6OIM_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_6OIM_MOV.sdf,33,34,blocked,single,single,single,single,true,true,true,false,passed,
KRAS_G12C_6OIM,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_6OIM_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_6OIM_MOV.sdf,33,39,blocked,single,single,single,single,true,true,true,false,passed,
KRAS_G12C_6OIM,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_6OIM_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_6OIM_MOV.sdf,34,35,blocked,single,single,single,single,true,true,true,false,passed,
KRAS_G12C_6OIM,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_6OIM_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_6OIM_MOV.sdf,34,36,blocked,single,single,single,single,true,true,true,false,passed,
KRAS_G12C_6OIM,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_6OIM_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_6OIM_MOV.sdf,36,37,blocked,single,single,single,single,true,true,true,false,passed,
KRAS_G12C_6OIM,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_6OIM_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_6OIM_MOV.sdf,37,38,blocked,single,single,single,single,true,true,true,false,passed,
KRAS_G12C_6OIM,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_6OIM_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_6OIM_MOV.sdf,38,39,blocked,single,single,single,single,true,true,true,false,passed,
KRAS_G12C_6OIM,data/derived/covalent_small/ligands_warhead_only_repaired/KRAS_G12C_6OIM_warhead_only_repaired_trial.sdf,data/raw/covalent_small/ligands/KRAS_G12C_6OIM_MOV.sdf,39,40,blocked,single,single,single,single,true,true,true,false,passed,
