priority_rank,review_unit_id,event_count,potential_event_yield_per_unit,canonical_event_ids_json,pdb_ids_json,ligand_component_ids_json,full_coordinate_event_count,exact_reactive_pair_event_count,CCD_graph_complete_event_count,POST_geometry_available_event_count,shadow_exact_component_event_count,representation_blocked_event_count,leakage_conflict_event_count,priority_score,priority_reason,human_decision_created
1,COVAPIE_BULK_REVIEW_UNIT_6A4D564E712634EB,16,16,"[""COVAPIE_CYS_SG_EVENT_V1:4I3U:A:CYS:291-:SG:I:POA:C2"",""COVAPIE_CYS_SG_EVENT_V1:4I3U:B:CYS:291-:SG:J:POA:C2"",""COVAPIE_CYS_SG_EVENT_V1:4I3U:C:CYS:291-:SG:K:POA:C2"",""COVAPIE_CYS_SG_EVENT_V1:4I3U:D:CYS:291-:SG:L:POA:C2"",""COVAPIE_CYS_SG_EVENT_V1:4I3U:E:CYS:291-:SG:M:POA:C2"",""COVAPIE_CYS_SG_EVENT_V1:4I3U:F:CYS:291-:SG:N:POA:C2"",""COVAPIE_CYS_SG_EVENT_V1:4I3U:G:CYS:291-:SG:O:POA:C2"",""COVAPIE_CYS_SG_EVENT_V1:4I3U:H:CYS:291-:SG:P:POA:C2"",""COVAPIE_CYS_SG_EVENT_V1:4I3V:A:CYS:291-:SG:J:POA:C2"",""COVAPIE_CYS_SG_EVENT_V1:4I3V:B:CYS:291-:SG:L:POA:C2"",""COVAPIE_CYS_SG_EVENT_V1:4I3V:C:CYS:291-:SG:N:POA:C2"",""COVAPIE_CYS_SG_EVENT_V1:4I3V:D:CYS:291-:SG:P:POA:C2"",""COVAPIE_CYS_SG_EVENT_V1:4I3V:E:CYS:291-:SG:R:POA:C2"",""COVAPIE_CYS_SG_EVENT_V1:4I3V:F:CYS:291-:SG:T:POA:C2"",""COVAPIE_CYS_SG_EVENT_V1:4I3V:G:CYS:291-:SG:V:POA:C2"",""COVAPIE_CYS_SG_EVENT_V1:4I3V:H:CYS:291-:SG:W:POA:C2""]","[""4I3U"",""4I3V""]","[""POA""]",16,16,16,16,0,0,0,16177760,EVENT_YIELD=16;FULL_COORDINATES=16;EXACT_PAIR=16;CCD_GRAPH=16;POST=16;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
26,COVAPIE_BULK_REVIEW_UNIT_C4EFE734A5B0CF57,4,4,"[""COVAPIE_CYS_SG_EVENT_V1:4Z16:A:CYS:909-:SG:E:4LH:CAP"",""COVAPIE_CYS_SG_EVENT_V1:4Z16:B:CYS:909-:SG:F:4LH:CAP"",""COVAPIE_CYS_SG_EVENT_V1:4Z16:C:CYS:909-:SG:G:4LH:CAP"",""COVAPIE_CYS_SG_EVENT_V1:4Z16:D:CYS:909-:SG:H:4LH:CAP""]","[""4Z16""]","[""4LH""]",4,4,4,4,0,0,0,4044440,EVENT_YIELD=4;FULL_COORDINATES=4;EXACT_PAIR=4;CCD_GRAPH=4;POST=4;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
27,COVAPIE_BULK_REVIEW_UNIT_C750E9F706F9E0AF,4,4,"[""COVAPIE_CYS_SG_EVENT_V1:1F4C:A:CYS:146-:SG:F:TP2:S1"",""COVAPIE_CYS_SG_EVENT_V1:1F4C:B:CYS:146-:SG:I:TP2:S1"",""COVAPIE_CYS_SG_EVENT_V1:1F4D:A:CYS:143-:SG:E:TP2:S1"",""COVAPIE_CYS_SG_EVENT_V1:1F4D:B:CYS:143-:SG:I:TP2:S1""]","[""1F4C"",""1F4D""]","[""TP2""]",4,4,4,4,0,0,0,4044440,EVENT_YIELD=4;FULL_COORDINATES=4;EXACT_PAIR=4;CCD_GRAPH=4;POST=4;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
28,COVAPIE_BULK_REVIEW_UNIT_DE7AFABE9D079CDF,4,4,"[""COVAPIE_CYS_SG_EVENT_V1:4CM5:A:CYS:168-:SG:F:NWJ:CAV"",""COVAPIE_CYS_SG_EVENT_V1:4CM5:B:CYS:168-:SG:H:NWJ:CAV"",""COVAPIE_CYS_SG_EVENT_V1:4CM5:C:CYS:168-:SG:J:NWJ:CAV"",""COVAPIE_CYS_SG_EVENT_V1:4CM5:D:CYS:168-:SG:L:NWJ:CAV""]","[""4CM5""]","[""NWJ""]",4,4,4,4,0,0,0,4044440,EVENT_YIELD=4;FULL_COORDINATES=4;EXACT_PAIR=4;CCD_GRAPH=4;POST=4;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
29,COVAPIE_BULK_REVIEW_UNIT_E800FEC791DFDA72,4,4,"[""COVAPIE_CYS_SG_EVENT_V1:4OU2:A:CYS:302-:SG:G:6OA:C5"",""COVAPIE_CYS_SG_EVENT_V1:4OU2:B:CYS:302-:SG:J:6OA:C5"",""COVAPIE_CYS_SG_EVENT_V1:4OU2:C:CYS:302-:SG:M:6OA:C5"",""COVAPIE_CYS_SG_EVENT_V1:4OU2:D:CYS:302-:SG:P:6OA:C5""]","[""4OU2""]","[""6OA""]",4,4,4,4,0,0,0,4044440,EVENT_YIELD=4;FULL_COORDINATES=4;EXACT_PAIR=4;CCD_GRAPH=4;POST=4;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
30,COVAPIE_BULK_REVIEW_UNIT_EB7468B0711B37A4,4,4,"[""COVAPIE_CYS_SG_EVENT_V1:1F8M:A:CYS:191-:SG:F:PYR:CB"",""COVAPIE_CYS_SG_EVENT_V1:1F8M:B:CYS:191-:SG:H:PYR:CB"",""COVAPIE_CYS_SG_EVENT_V1:1F8M:C:CYS:191-:SG:J:PYR:CB"",""COVAPIE_CYS_SG_EVENT_V1:1F8M:D:CYS:191-:SG:L:PYR:CB""]","[""1F8M""]","[""PYR""]",4,4,4,4,0,0,0,4044440,EVENT_YIELD=4;FULL_COORDINATES=4;EXACT_PAIR=4;CCD_GRAPH=4;POST=4;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
31,COVAPIE_BULK_REVIEW_UNIT_ECD4EA720B433528,4,4,"[""COVAPIE_CYS_SG_EVENT_V1:2GZ3:A:CYS:128-:SG:F:AS2:CG"",""COVAPIE_CYS_SG_EVENT_V1:2GZ3:B:CYS:128-:SG:H:AS2:CG"",""COVAPIE_CYS_SG_EVENT_V1:2GZ3:C:CYS:128-:SG:J:AS2:CG"",""COVAPIE_CYS_SG_EVENT_V1:2GZ3:D:CYS:128-:SG:L:AS2:CG""]","[""2GZ3""]","[""AS2""]",4,4,4,4,0,0,0,4044440,EVENT_YIELD=4;FULL_COORDINATES=4;EXACT_PAIR=4;CCD_GRAPH=4;POST=4;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
32,COVAPIE_BULK_REVIEW_UNIT_3CF0AB1696EEA129,3,3,"[""COVAPIE_CYS_SG_EVENT_V1:3QVY:B:CYS:82-:SG:U:ME7:CAE"",""COVAPIE_CYS_SG_EVENT_V1:3QVY:C:CYS:82-:SG:O:ME7:CAE"",""COVAPIE_CYS_SG_EVENT_V1:3QVZ:A:CYS:82-:SG:F:ME7:CAE""]","[""3QVY"",""3QVZ""]","[""ME7""]",3,3,3,3,0,0,0,3033330,EVENT_YIELD=3;FULL_COORDINATES=3;EXACT_PAIR=3;CCD_GRAPH=3;POST=3;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
33,COVAPIE_BULK_REVIEW_UNIT_79526304E5FB38A6,3,3,"[""COVAPIE_CYS_SG_EVENT_V1:5ARB:A:CYS:217-:SG:F:EI3:C1"",""COVAPIE_CYS_SG_EVENT_V1:5ARC:A:CYS:217-:SG:C:EI3:C1"",""COVAPIE_CYS_SG_EVENT_V1:5ARD:A:CYS:217-:SG:E:EI3:C1""]","[""5ARB"",""5ARC"",""5ARD""]","[""EI3""]",3,3,3,3,0,0,0,3033330,EVENT_YIELD=3;FULL_COORDINATES=3;EXACT_PAIR=3;CCD_GRAPH=3;POST=3;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
34,COVAPIE_BULK_REVIEW_UNIT_7FB64BA2D198B24F,3,3,"[""COVAPIE_CYS_SG_EVENT_V1:2A5I:A:CYS:145-:SG:B:AZP:CBM"",""COVAPIE_CYS_SG_EVENT_V1:2A5K:A:CYS:145-:SG:C:AZP:CBM"",""COVAPIE_CYS_SG_EVENT_V1:2A5K:B:CYS:145-:SG:D:AZP:CBM""]","[""2A5I"",""2A5K""]","[""AZP""]",3,3,3,3,0,0,0,3033330,EVENT_YIELD=3;FULL_COORDINATES=3;EXACT_PAIR=3;CCD_GRAPH=3;POST=3;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
35,COVAPIE_BULK_REVIEW_UNIT_90EE047F15B414B4,3,3,"[""COVAPIE_CYS_SG_EVENT_V1:1KEQ:A:CYS:131-:SG:E:4MZ:C4"",""COVAPIE_CYS_SG_EVENT_V1:1KEQ:A:CYS:188-:SG:G:4MZ:C4"",""COVAPIE_CYS_SG_EVENT_V1:1KEQ:B:CYS:188-:SG:L:4MZ:C4""]","[""1KEQ""]","[""4MZ""]",3,3,3,3,0,0,0,3033330,EVENT_YIELD=3;FULL_COORDINATES=3;EXACT_PAIR=3;CCD_GRAPH=3;POST=3;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
36,COVAPIE_BULK_REVIEW_UNIT_9C9E0519571BA9A5,3,3,"[""COVAPIE_CYS_SG_EVENT_V1:4HAT:C:CYS:539-:SG:G:LMB:C3"",""COVAPIE_CYS_SG_EVENT_V1:4HAW:C:CYS:539-:SG:H:LMB:C3"",""COVAPIE_CYS_SG_EVENT_V1:4HAY:C:CYS:539-:SG:G:LMB:C3""]","[""4HAT"",""4HAW"",""4HAY""]","[""LMB""]",3,3,3,3,0,0,0,3033330,EVENT_YIELD=3;FULL_COORDINATES=3;EXACT_PAIR=3;CCD_GRAPH=3;POST=3;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
37,COVAPIE_BULK_REVIEW_UNIT_EA929B6D5C86E86B,3,3,"[""COVAPIE_CYS_SG_EVENT_V1:2W93:B:CYS:221-:SG:L:PY0:C2"",""COVAPIE_CYS_SG_EVENT_V1:2W93:C:CYS:221-:SG:P:PY0:C2"",""COVAPIE_CYS_SG_EVENT_V1:2W93:D:CYS:221-:SG:T:PY0:C2""]","[""2W93""]","[""PY0""]",3,3,3,3,0,0,0,3033330,EVENT_YIELD=3;FULL_COORDINATES=3;EXACT_PAIR=3;CCD_GRAPH=3;POST=3;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
38,COVAPIE_BULK_REVIEW_UNIT_F405B411FF44DFF3,3,3,"[""COVAPIE_CYS_SG_EVENT_V1:1ML3:B:CYS:166-:SG:F:CYX:C1"",""COVAPIE_CYS_SG_EVENT_V1:1ML3:C:CYS:166-:SG:H:CYX:C1"",""COVAPIE_CYS_SG_EVENT_V1:1ML3:D:CYS:166-:SG:J:CYX:C1""]","[""1ML3""]","[""CYX""]",3,3,3,3,0,0,0,3033330,EVENT_YIELD=3;FULL_COORDINATES=3;EXACT_PAIR=3;CCD_GRAPH=3;POST=3;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
39,COVAPIE_BULK_REVIEW_UNIT_0E25EAA0EAED92E1,2,2,"[""COVAPIE_CYS_SG_EVENT_V1:2HWP:A:CYS:345-:SG:C:DJK:C51"",""COVAPIE_CYS_SG_EVENT_V1:2HWP:B:CYS:345-:SG:D:DJK:C51""]","[""2HWP""]","[""DJK""]",2,2,2,2,2,0,0,2222220,EVENT_YIELD=2;FULL_COORDINATES=2;EXACT_PAIR=2;CCD_GRAPH=2;POST=2;SHADOW_EXACT_COMPONENT=2;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
40,COVAPIE_BULK_REVIEW_UNIT_013E84BB94630904,2,2,"[""COVAPIE_CYS_SG_EVENT_V1:2ZK4:A:CYS:285-:SG:C:OCR:C9"",""COVAPIE_CYS_SG_EVENT_V1:2ZK4:B:CYS:285-:SG:D:OCR:C9""]","[""2ZK4""]","[""OCR""]",2,2,2,2,0,0,0,2022220,EVENT_YIELD=2;FULL_COORDINATES=2;EXACT_PAIR=2;CCD_GRAPH=2;POST=2;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
41,COVAPIE_BULK_REVIEW_UNIT_051699CAC7019ABA,2,2,"[""COVAPIE_CYS_SG_EVENT_V1:3ADW:A:CYS:285-:SG:D:OCR:C9"",""COVAPIE_CYS_SG_EVENT_V1:3ADW:B:CYS:285-:SG:E:OCR:C9""]","[""3ADW""]","[""OCR""]",2,2,2,2,0,0,0,2022220,EVENT_YIELD=2;FULL_COORDINATES=2;EXACT_PAIR=2;CCD_GRAPH=2;POST=2;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
42,COVAPIE_BULK_REVIEW_UNIT_06A012CB91AC4F3B,2,2,"[""COVAPIE_CYS_SG_EVENT_V1:3QVY:D:CYS:82-:SG:U:ME7:CAH"",""COVAPIE_CYS_SG_EVENT_V1:3QVZ:C:CYS:82-:SG:F:ME7:CAH""]","[""3QVY"",""3QVZ""]","[""ME7""]",2,2,2,2,0,0,0,2022220,EVENT_YIELD=2;FULL_COORDINATES=2;EXACT_PAIR=2;CCD_GRAPH=2;POST=2;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
43,COVAPIE_BULK_REVIEW_UNIT_0E4BBC981ADBD5F5,2,2,"[""COVAPIE_CYS_SG_EVENT_V1:3C9W:A:CYS:164-:SG:C:HMY:C11"",""COVAPIE_CYS_SG_EVENT_V1:3C9W:B:CYS:164-:SG:D:HMY:C11""]","[""3C9W""]","[""HMY""]",2,2,2,2,0,0,0,2022220,EVENT_YIELD=2;FULL_COORDINATES=2;EXACT_PAIR=2;CCD_GRAPH=2;POST=2;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
44,COVAPIE_BULK_REVIEW_UNIT_20296232043E53A1,2,2,"[""COVAPIE_CYS_SG_EVENT_V1:2ZK5:A:CYS:285-:SG:C:NRO:C8"",""COVAPIE_CYS_SG_EVENT_V1:2ZK5:B:CYS:285-:SG:D:NRO:C8""]","[""2ZK5""]","[""NRO""]",2,2,2,2,0,0,0,2022220,EVENT_YIELD=2;FULL_COORDINATES=2;EXACT_PAIR=2;CCD_GRAPH=2;POST=2;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
45,COVAPIE_BULK_REVIEW_UNIT_237F3C222E15BEB8,2,2,"[""COVAPIE_CYS_SG_EVENT_V1:2J6H:A:CYS:1-:SG:C:ONL:CE"",""COVAPIE_CYS_SG_EVENT_V1:2J6H:B:CYS:1-:SG:E:ONL:CE""]","[""2J6H""]","[""ONL""]",2,2,2,2,0,0,0,2022220,EVENT_YIELD=2;FULL_COORDINATES=2;EXACT_PAIR=2;CCD_GRAPH=2;POST=2;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
46,COVAPIE_BULK_REVIEW_UNIT_3895CEC8F2581B1B,2,2,"[""COVAPIE_CYS_SG_EVENT_V1:4ITB:A:CYS:262-:SG:D:SSN:C4"",""COVAPIE_CYS_SG_EVENT_V1:4ITB:B:CYS:262-:SG:S:SSN:C4""]","[""4ITB""]","[""SSN""]",2,2,2,2,0,0,0,2022220,EVENT_YIELD=2;FULL_COORDINATES=2;EXACT_PAIR=2;CCD_GRAPH=2;POST=2;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
47,COVAPIE_BULK_REVIEW_UNIT_462BD93186C05FD2,2,2,"[""COVAPIE_CYS_SG_EVENT_V1:5DC2:A:CYS:354-:SG:C:58U:C7"",""COVAPIE_CYS_SG_EVENT_V1:5DC2:B:CYS:354-:SG:S:58U:C7""]","[""5DC2""]","[""58U""]",2,2,2,2,0,0,0,2022220,EVENT_YIELD=2;FULL_COORDINATES=2;EXACT_PAIR=2;CCD_GRAPH=2;POST=2;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
48,COVAPIE_BULK_REVIEW_UNIT_47AC17EBC8C3AFD6,2,2,"[""COVAPIE_CYS_SG_EVENT_V1:1LXY:A:CYS:398-:SG:C:CIR:C7"",""COVAPIE_CYS_SG_EVENT_V1:1LXY:B:CYS:398-:SG:E:CIR:C7""]","[""1LXY""]","[""CIR""]",2,2,2,2,0,0,0,2022220,EVENT_YIELD=2;FULL_COORDINATES=2;EXACT_PAIR=2;CCD_GRAPH=2;POST=2;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
49,COVAPIE_BULK_REVIEW_UNIT_49424694FFEB1398,2,2,"[""COVAPIE_CYS_SG_EVENT_V1:3TAX:A:CYS:917-:SG:F:FOR:C"",""COVAPIE_CYS_SG_EVENT_V1:3TAX:C:CYS:917-:SG:K:FOR:C""]","[""3TAX""]","[""FOR""]",2,2,2,2,0,0,0,2022220,EVENT_YIELD=2;FULL_COORDINATES=2;EXACT_PAIR=2;CCD_GRAPH=2;POST=2;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
50,COVAPIE_BULK_REVIEW_UNIT_54A1A932F9F22EBE,2,2,"[""COVAPIE_CYS_SG_EVENT_V1:3SVV:A:CYS:338-:SG:C:VSP:C18"",""COVAPIE_CYS_SG_EVENT_V1:3SVV:B:CYS:338-:SG:D:VSP:C18""]","[""3SVV""]","[""VSP""]",2,2,2,2,0,0,0,2022220,EVENT_YIELD=2;FULL_COORDINATES=2;EXACT_PAIR=2;CCD_GRAPH=2;POST=2;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
51,COVAPIE_BULK_REVIEW_UNIT_57FF17B34C94F78F,2,2,"[""COVAPIE_CYS_SG_EVENT_V1:2FQ9:A:CYS:25-:SG:C:CRJ:C32"",""COVAPIE_CYS_SG_EVENT_V1:2FQ9:B:CYS:25-:SG:D:CRJ:C32""]","[""2FQ9""]","[""CRJ""]",2,2,2,2,0,0,0,2022220,EVENT_YIELD=2;FULL_COORDINATES=2;EXACT_PAIR=2;CCD_GRAPH=2;POST=2;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
52,COVAPIE_BULK_REVIEW_UNIT_58CECA1BDCAD42A4,2,2,"[""COVAPIE_CYS_SG_EVENT_V1:3VYP:A:CYS:354-:SG:D:MXR:C1"",""COVAPIE_CYS_SG_EVENT_V1:3VYP:B:CYS:354-:SG:F:MXR:C1""]","[""3VYP""]","[""MXR""]",2,2,2,2,0,0,0,2022220,EVENT_YIELD=2;FULL_COORDINATES=2;EXACT_PAIR=2;CCD_GRAPH=2;POST=2;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
53,COVAPIE_BULK_REVIEW_UNIT_5D533E4A6A44172C,2,2,"[""COVAPIE_CYS_SG_EVENT_V1:3KR6:A:CYS:115-:SG:B:FFQ:C1"",""COVAPIE_CYS_SG_EVENT_V1:3LTH:A:CYS:115-:SG:B:FFQ:C1""]","[""3KR6"",""3LTH""]","[""FFQ""]",2,2,2,2,0,0,0,2022220,EVENT_YIELD=2;FULL_COORDINATES=2;EXACT_PAIR=2;CCD_GRAPH=2;POST=2;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
54,COVAPIE_BULK_REVIEW_UNIT_66D107A3E900A3B4,2,2,"[""COVAPIE_CYS_SG_EVENT_V1:4DMY:A:CYS:25-:SG:C:0LC:C29"",""COVAPIE_CYS_SG_EVENT_V1:4DMY:B:CYS:25-:SG:F:0LC:C29""]","[""4DMY""]","[""0LC""]",2,2,2,2,0,0,0,2022220,EVENT_YIELD=2;FULL_COORDINATES=2;EXACT_PAIR=2;CCD_GRAPH=2;POST=2;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
55,COVAPIE_BULK_REVIEW_UNIT_672DEEDD20BA4AE3,2,2,"[""COVAPIE_CYS_SG_EVENT_V1:2ZK3:A:CYS:285-:SG:C:OCX:C11"",""COVAPIE_CYS_SG_EVENT_V1:2ZK3:B:CYS:285-:SG:D:OCX:C11""]","[""2ZK3""]","[""OCX""]",2,2,2,2,0,0,0,2022220,EVENT_YIELD=2;FULL_COORDINATES=2;EXACT_PAIR=2;CCD_GRAPH=2;POST=2;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
56,COVAPIE_BULK_REVIEW_UNIT_74274D761287CCCF,2,2,"[""COVAPIE_CYS_SG_EVENT_V1:5D11:A:CYS:345-:SG:D:56G:CAA"",""COVAPIE_CYS_SG_EVENT_V1:5D11:B:CYS:345-:SG:F:56G:CAA""]","[""5D11""]","[""56G""]",2,2,2,2,0,0,0,2022220,EVENT_YIELD=2;FULL_COORDINATES=2;EXACT_PAIR=2;CCD_GRAPH=2;POST=2;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
57,COVAPIE_BULK_REVIEW_UNIT_761DF2EA30908AC8,2,2,"[""COVAPIE_CYS_SG_EVENT_V1:3P8E:A:CYS:274-:SG:C:LN7:CZ"",""COVAPIE_CYS_SG_EVENT_V1:3P8E:B:CYS:274-:SG:D:LN7:CZ""]","[""3P8E""]","[""LN7""]",2,2,2,2,0,0,0,2022220,EVENT_YIELD=2;FULL_COORDINATES=2;EXACT_PAIR=2;CCD_GRAPH=2;POST=2;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
58,COVAPIE_BULK_REVIEW_UNIT_7AD1402BF631432F,2,2,"[""COVAPIE_CYS_SG_EVENT_V1:5AXS:A:CYS:119-:SG:B:4LF:C4"",""COVAPIE_CYS_SG_EVENT_V1:5CZU:A:CYS:119-:SG:B:4LF:C4""]","[""5AXS"",""5CZU""]","[""4LF""]",2,2,2,2,0,0,0,2022220,EVENT_YIELD=2;FULL_COORDINATES=2;EXACT_PAIR=2;CCD_GRAPH=2;POST=2;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
59,COVAPIE_BULK_REVIEW_UNIT_7C664723B3892EDE,2,2,"[""COVAPIE_CYS_SG_EVENT_V1:3LLE:A:CYS:84-:SG:E:SGE:CAG"",""COVAPIE_CYS_SG_EVENT_V1:3LLE:B:CYS:84-:SG:H:SGE:CAG""]","[""3LLE""]","[""SGE""]",2,2,2,2,0,0,0,2022220,EVENT_YIELD=2;FULL_COORDINATES=2;EXACT_PAIR=2;CCD_GRAPH=2;POST=2;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
60,COVAPIE_BULK_REVIEW_UNIT_7D3E873693F39848,2,2,"[""COVAPIE_CYS_SG_EVENT_V1:4YHF:A:CYS:481-:SG:C:4C9:C1"",""COVAPIE_CYS_SG_EVENT_V1:4YHF:B:CYS:481-:SG:V:4C9:C1""]","[""4YHF""]","[""4C9""]",2,2,2,2,0,0,0,2022220,EVENT_YIELD=2;FULL_COORDINATES=2;EXACT_PAIR=2;CCD_GRAPH=2;POST=2;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
61,COVAPIE_BULK_REVIEW_UNIT_7ECA4E38FFF9D55A,2,2,"[""COVAPIE_CYS_SG_EVENT_V1:1DC4:A:CYS:149-:SG:C:G3P:C1"",""COVAPIE_CYS_SG_EVENT_V1:1DC4:B:CYS:149-:SG:D:G3P:C1""]","[""1DC4""]","[""G3P""]",2,2,2,2,0,0,0,2022220,EVENT_YIELD=2;FULL_COORDINATES=2;EXACT_PAIR=2;CCD_GRAPH=2;POST=2;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
62,COVAPIE_BULK_REVIEW_UNIT_7ED21F0D26D0BA2F,2,2,"[""COVAPIE_CYS_SG_EVENT_V1:5AZP:A:CYS:1-:SG:D:3PK:CG3"",""COVAPIE_CYS_SG_EVENT_V1:5AZP:C:CYS:1-:SG:LA:3PK:CG3""]","[""5AZP""]","[""3PK""]",2,2,2,2,0,0,0,2022220,EVENT_YIELD=2;FULL_COORDINATES=2;EXACT_PAIR=2;CCD_GRAPH=2;POST=2;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
63,COVAPIE_BULK_REVIEW_UNIT_845FED011149B693,2,2,"[""COVAPIE_CYS_SG_EVENT_V1:3X1H:A:CYS:285-:SG:C:5OX:C15"",""COVAPIE_CYS_SG_EVENT_V1:3X1H:B:CYS:285-:SG:D:5OX:C15""]","[""3X1H""]","[""5OX""]",2,2,2,2,0,0,0,2022220,EVENT_YIELD=2;FULL_COORDINATES=2;EXACT_PAIR=2;CCD_GRAPH=2;POST=2;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
64,COVAPIE_BULK_REVIEW_UNIT_849C00809BE09F89,2,2,"[""COVAPIE_CYS_SG_EVENT_V1:2Y5Y:A:CYS:122-:SG:D:TGA:S15"",""COVAPIE_CYS_SG_EVENT_V1:2Y5Y:B:CYS:122-:SG:F:TGA:S15""]","[""2Y5Y""]","[""TGA""]",2,2,2,2,0,0,0,2022220,EVENT_YIELD=2;FULL_COORDINATES=2;EXACT_PAIR=2;CCD_GRAPH=2;POST=2;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
65,COVAPIE_BULK_REVIEW_UNIT_8B9A718D21F20B7D,2,2,"[""COVAPIE_CYS_SG_EVENT_V1:4LS8:A:CYS:164-:SG:C:1XG:C3"",""COVAPIE_CYS_SG_EVENT_V1:4LS8:B:CYS:164-:SG:J:1XG:C3""]","[""4LS8""]","[""1XG""]",2,2,2,2,0,0,0,2022220,EVENT_YIELD=2;FULL_COORDINATES=2;EXACT_PAIR=2;CCD_GRAPH=2;POST=2;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
66,COVAPIE_BULK_REVIEW_UNIT_8C17238B54AACE80,2,2,"[""COVAPIE_CYS_SG_EVENT_V1:3QVY:A:CYS:82-:SG:O:ME7:CAG"",""COVAPIE_CYS_SG_EVENT_V1:3QVZ:B:CYS:82-:SG:N:ME7:CAG""]","[""3QVY"",""3QVZ""]","[""ME7""]",2,2,2,2,0,0,0,2022220,EVENT_YIELD=2;FULL_COORDINATES=2;EXACT_PAIR=2;CCD_GRAPH=2;POST=2;SHADOW_EXACT_COMPONENT=0;NO_NAME_OR_GUESSED_BIOLOGY_PRIORITY,false
