occurrence_order,semantic_subject,field_or_term_name,relative_path,file_role,occurrence_kind,declaring_or_referencing,phase_claim,type_claim,validation_claim,source_authority_level,current_contract_effect,admit_013_relevance,occurrence_passed
1298,exact4_download_result_field,observed_content_length_bytes,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,shared_structural_contract_or_observed_value_reference,true
1299,exact4_download_result_field,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,shared_structural_contract_or_observed_value_reference,true
1300,policy_context,successful_http_status_contract,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,ADMIT_013_identity_or_context_evidence,true
1301,policy_context,content_length_contract,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,ADMIT_013_identity_or_context_evidence,true
1302,policy_context,sha256_format_contract,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,ADMIT_013_identity_or_context_evidence,true
1303,integrity_or_transport_semantics,content_length,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,integrity_semantics_search_evidence,true
1304,exact4_download_result_field,download_result_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,shared_structural_contract_or_observed_value_reference,true
1305,exact4_download_result_field,observed_http_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,shared_structural_contract_or_observed_value_reference,true
1306,exact4_download_result_field,observed_content_length_bytes,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,shared_structural_contract_or_observed_value_reference,true
1307,exact4_download_result_field,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,shared_structural_contract_or_observed_value_reference,true
1308,policy_context,successful_http_status_contract,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,ADMIT_013_identity_or_context_evidence,true
1309,policy_context,content_length_contract,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,ADMIT_013_identity_or_context_evidence,true
1310,policy_context,sha256_format_contract,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,ADMIT_013_identity_or_context_evidence,true
1311,integrity_or_transport_semantics,content_length,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,integrity_semantics_search_evidence,true
1312,exact4_download_result_field,download_result_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,shared_structural_contract_or_observed_value_reference,true
1313,exact4_download_result_field,observed_http_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,shared_structural_contract_or_observed_value_reference,true
1314,exact4_download_result_field,observed_content_length_bytes,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,shared_structural_contract_or_observed_value_reference,true
1315,exact4_download_result_field,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,shared_structural_contract_or_observed_value_reference,true
1316,policy_context,successful_http_status_contract,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,ADMIT_013_identity_or_context_evidence,true
1317,policy_context,content_length_contract,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,ADMIT_013_identity_or_context_evidence,true
1318,policy_context,sha256_format_contract,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,ADMIT_013_identity_or_context_evidence,true
1319,integrity_or_transport_semantics,content_length,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,integrity_semantics_search_evidence,true
1320,exact4_download_result_field,download_result_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,shared_structural_contract_or_observed_value_reference,true
1321,exact4_download_result_field,observed_http_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,shared_structural_contract_or_observed_value_reference,true
1322,exact4_download_result_field,observed_content_length_bytes,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,shared_structural_contract_or_observed_value_reference,true
1323,exact4_download_result_field,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,shared_structural_contract_or_observed_value_reference,true
1324,policy_context,successful_http_status_contract,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,ADMIT_013_identity_or_context_evidence,true
1325,policy_context,content_length_contract,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,ADMIT_013_identity_or_context_evidence,true
1326,policy_context,sha256_format_contract,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,ADMIT_013_identity_or_context_evidence,true
1327,integrity_or_transport_semantics,content_length,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,integrity_semantics_search_evidence,true
1328,exact4_download_result_field,download_result_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,shared_structural_contract_or_observed_value_reference,true
1329,exact4_download_result_field,observed_http_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,shared_structural_contract_or_observed_value_reference,true
1330,exact4_download_result_field,observed_content_length_bytes,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,shared_structural_contract_or_observed_value_reference,true
1331,exact4_download_result_field,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,shared_structural_contract_or_observed_value_reference,true
1332,policy_context,successful_http_status_contract,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,ADMIT_013_identity_or_context_evidence,true
1333,policy_context,content_length_contract,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,ADMIT_013_identity_or_context_evidence,true
1334,policy_context,sha256_format_contract,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,ADMIT_013_identity_or_context_evidence,true
1335,integrity_or_transport_semantics,content_length,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,integrity_semantics_search_evidence,true
1336,exact4_download_result_field,download_result_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,shared_structural_contract_or_observed_value_reference,true
1337,exact4_download_result_field,download_result_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,shared_structural_contract_or_observed_value_reference,true
1338,exact4_download_result_field,observed_http_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,shared_structural_contract_or_observed_value_reference,true
1339,exact4_download_result_field,download_result_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,shared_structural_contract_or_observed_value_reference,true
1340,exact4_download_result_field,observed_http_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,shared_structural_contract_or_observed_value_reference,true
1341,exact4_download_result_field,observed_content_length_bytes,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,shared_structural_contract_or_observed_value_reference,true
1342,integrity_or_transport_semantics,content_length,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,integrity_semantics_search_evidence,true
1343,exact4_download_result_field,download_result_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,shared_structural_contract_or_observed_value_reference,true
1344,exact4_download_result_field,observed_http_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,shared_structural_contract_or_observed_value_reference,true
1345,exact4_download_result_field,observed_content_length_bytes,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,shared_structural_contract_or_observed_value_reference,true
1346,exact4_download_result_field,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,shared_structural_contract_or_observed_value_reference,true
1347,integrity_or_transport_semantics,content_length,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,integrity_semantics_search_evidence,true
1348,exact4_download_result_field,download_result_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,shared_structural_contract_or_observed_value_reference,true
1349,exact4_download_result_field,download_result_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,shared_structural_contract_or_observed_value_reference,true
1350,exact4_download_result_field,observed_http_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,shared_structural_contract_or_observed_value_reference,true
1351,exact4_download_result_field,download_result_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,shared_structural_contract_or_observed_value_reference,true
1352,exact4_download_result_field,observed_http_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,shared_structural_contract_or_observed_value_reference,true
1353,exact4_download_result_field,observed_content_length_bytes,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,shared_structural_contract_or_observed_value_reference,true
1354,exact4_download_result_field,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,shared_structural_contract_or_observed_value_reference,true
1355,integrity_or_transport_semantics,content_length,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,integrity_semantics_search_evidence,true
1356,exact4_download_result_field,download_result_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,shared_structural_contract_or_observed_value_reference,true
1357,exact4_download_result_field,observed_http_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,shared_structural_contract_or_observed_value_reference,true
1358,exact4_download_result_field,observed_content_length_bytes,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,shared_structural_contract_or_observed_value_reference,true
1359,exact4_download_result_field,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,shared_structural_contract_or_observed_value_reference,true
1360,integrity_or_transport_semantics,content_length,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,integrity_semantics_search_evidence,true
1361,exact4_download_result_field,download_result_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,shared_structural_contract_or_observed_value_reference,true
1362,exact4_download_result_field,observed_http_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,shared_structural_contract_or_observed_value_reference,true
1363,exact4_download_result_field,observed_content_length_bytes,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,shared_structural_contract_or_observed_value_reference,true
1364,exact4_download_result_field,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,shared_structural_contract_or_observed_value_reference,true
1365,integrity_or_transport_semantics,content_length,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,integrity_semantics_search_evidence,true
1366,exact4_download_result_field,download_result_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_012_formal_evaluator_interface_contract_v1/covapie_admit_012_formal_evaluator_interface_truth_matrix.csv,derived_contract_or_evidence,textual_or_structured_reference,referencing,not_claimed,not_claimed,no_direct_ADMIT_013_validation_claim,committed_design_evidence,committed_boundary_or_reference_evidence,shared_structural_contract_or_observed_value_reference,true
