occurrence_order,field_name,relative_path,file_role,occurrence_kind,declaring_or_referencing,phase_claim,type_claim,validation_claim,source_authority_level,current_contract_effect,occurrence_passed
88,download_result_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_005_rule_logic_interface_v1/covapie_admit_005_rule_logic_interface_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
89,observed_http_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_005_unified_adapter_contract_design_gate_v1/covapie_admit_005_unified_adapter_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
90,observed_content_length_bytes,data/derived/covalent_small/covapie_bulk_download_admission_admit_005_unified_adapter_contract_design_gate_v1/covapie_admit_005_unified_adapter_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
91,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_005_unified_adapter_contract_design_gate_v1/covapie_admit_005_unified_adapter_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
92,download_result_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_005_unified_adapter_contract_design_gate_v1/covapie_admit_005_unified_adapter_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
93,observed_http_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_006_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_006_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
94,observed_content_length_bytes,data/derived/covalent_small/covapie_bulk_download_admission_admit_006_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_006_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
95,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_006_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_006_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
96,download_result_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_006_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_006_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
97,observed_http_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_006_rule_logic_interface_v1/covapie_admit_006_rule_logic_interface_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
98,observed_content_length_bytes,data/derived/covalent_small/covapie_bulk_download_admission_admit_006_rule_logic_interface_v1/covapie_admit_006_rule_logic_interface_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
99,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_006_rule_logic_interface_v1/covapie_admit_006_rule_logic_interface_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
100,download_result_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_006_rule_logic_interface_v1/covapie_admit_006_rule_logic_interface_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
101,observed_http_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_006_unified_adapter_contract_design_gate_v1/covapie_admit_006_unified_adapter_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
102,observed_content_length_bytes,data/derived/covalent_small/covapie_bulk_download_admission_admit_006_unified_adapter_contract_design_gate_v1/covapie_admit_006_unified_adapter_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
103,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_006_unified_adapter_contract_design_gate_v1/covapie_admit_006_unified_adapter_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
104,download_result_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_006_unified_adapter_contract_design_gate_v1/covapie_admit_006_unified_adapter_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
105,observed_http_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_007_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_007_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
106,observed_content_length_bytes,data/derived/covalent_small/covapie_bulk_download_admission_admit_007_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_007_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
107,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_007_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_007_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
108,download_result_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_007_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_007_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
109,observed_http_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_007_rule_logic_interface_v1/covapie_admit_007_rule_logic_interface_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
110,observed_content_length_bytes,data/derived/covalent_small/covapie_bulk_download_admission_admit_007_rule_logic_interface_v1/covapie_admit_007_rule_logic_interface_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
111,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_007_rule_logic_interface_v1/covapie_admit_007_rule_logic_interface_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
112,download_result_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_007_rule_logic_interface_v1/covapie_admit_007_rule_logic_interface_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
113,observed_http_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_007_unified_adapter_contract_design_gate_v1/covapie_admit_007_unified_adapter_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
114,observed_content_length_bytes,data/derived/covalent_small/covapie_bulk_download_admission_admit_007_unified_adapter_contract_design_gate_v1/covapie_admit_007_unified_adapter_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
115,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_007_unified_adapter_contract_design_gate_v1/covapie_admit_007_unified_adapter_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
116,download_result_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_007_unified_adapter_contract_design_gate_v1/covapie_admit_007_unified_adapter_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
117,observed_http_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_008_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_008_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
118,observed_content_length_bytes,data/derived/covalent_small/covapie_bulk_download_admission_admit_008_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_008_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
119,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_008_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_008_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
120,download_result_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_008_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_008_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
121,observed_http_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_008_rule_logic_interface_v1/covapie_admit_008_rule_logic_interface_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
122,observed_content_length_bytes,data/derived/covalent_small/covapie_bulk_download_admission_admit_008_rule_logic_interface_v1/covapie_admit_008_rule_logic_interface_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
123,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_008_rule_logic_interface_v1/covapie_admit_008_rule_logic_interface_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
124,download_result_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_008_rule_logic_interface_v1/covapie_admit_008_rule_logic_interface_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
125,observed_http_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_008_topology_restoration_disposition_enum_contract_design_gate_v1/covapie_admit_008_topology_restoration_disposition_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
126,observed_content_length_bytes,data/derived/covalent_small/covapie_bulk_download_admission_admit_008_topology_restoration_disposition_enum_contract_design_gate_v1/covapie_admit_008_topology_restoration_disposition_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
127,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_008_topology_restoration_disposition_enum_contract_design_gate_v1/covapie_admit_008_topology_restoration_disposition_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
128,download_result_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_008_topology_restoration_disposition_enum_contract_design_gate_v1/covapie_admit_008_topology_restoration_disposition_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
129,observed_http_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_008_unified_adapter_contract_design_gate_v1/covapie_admit_008_unified_adapter_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
130,observed_content_length_bytes,data/derived/covalent_small/covapie_bulk_download_admission_admit_008_unified_adapter_contract_design_gate_v1/covapie_admit_008_unified_adapter_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
131,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_008_unified_adapter_contract_design_gate_v1/covapie_admit_008_unified_adapter_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
132,download_result_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_008_unified_adapter_contract_design_gate_v1/covapie_admit_008_unified_adapter_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
133,observed_http_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_009_duplicate_identity_key_contract_design_gate_v1/covapie_admit_009_duplicate_identity_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
134,observed_content_length_bytes,data/derived/covalent_small/covapie_bulk_download_admission_admit_009_duplicate_identity_key_contract_design_gate_v1/covapie_admit_009_duplicate_identity_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
135,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_009_duplicate_identity_key_contract_design_gate_v1/covapie_admit_009_duplicate_identity_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
136,download_result_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_009_duplicate_identity_key_contract_design_gate_v1/covapie_admit_009_duplicate_identity_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
137,observed_http_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_009_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_009_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
138,observed_content_length_bytes,data/derived/covalent_small/covapie_bulk_download_admission_admit_009_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_009_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
139,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_009_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_009_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
140,download_result_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_009_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_009_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
141,observed_http_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_009_rule_logic_interface_v1/covapie_admit_009_rule_logic_interface_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
142,observed_content_length_bytes,data/derived/covalent_small/covapie_bulk_download_admission_admit_009_rule_logic_interface_v1/covapie_admit_009_rule_logic_interface_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
143,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_009_rule_logic_interface_v1/covapie_admit_009_rule_logic_interface_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
144,download_result_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_009_rule_logic_interface_v1/covapie_admit_009_rule_logic_interface_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
145,observed_http_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_009_unified_adapter_contract_design_gate_v1/covapie_admit_009_unified_adapter_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
146,observed_content_length_bytes,data/derived/covalent_small/covapie_bulk_download_admission_admit_009_unified_adapter_contract_design_gate_v1/covapie_admit_009_unified_adapter_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
147,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_009_unified_adapter_contract_design_gate_v1/covapie_admit_009_unified_adapter_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
148,download_result_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_009_unified_adapter_contract_design_gate_v1/covapie_admit_009_unified_adapter_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
149,observed_http_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_010_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_010_formal_evaluator_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
150,observed_content_length_bytes,data/derived/covalent_small/covapie_bulk_download_admission_admit_010_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_010_formal_evaluator_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
151,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_010_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_010_formal_evaluator_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
152,download_result_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_010_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_010_formal_evaluator_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
153,observed_http_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_010_leakage_group_assignment_provenance_contract_design_gate_v1/covapie_admit_010_provenance_contract_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
154,observed_content_length_bytes,data/derived/covalent_small/covapie_bulk_download_admission_admit_010_leakage_group_assignment_provenance_contract_design_gate_v1/covapie_admit_010_provenance_contract_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
155,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_010_leakage_group_assignment_provenance_contract_design_gate_v1/covapie_admit_010_provenance_contract_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
156,download_result_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_010_leakage_group_assignment_provenance_contract_design_gate_v1/covapie_admit_010_provenance_contract_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
157,observed_http_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_010_rule_logic_interface_v1/covapie_admit_010_rule_logic_interface_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
158,observed_content_length_bytes,data/derived/covalent_small/covapie_bulk_download_admission_admit_010_rule_logic_interface_v1/covapie_admit_010_rule_logic_interface_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
159,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_010_rule_logic_interface_v1/covapie_admit_010_rule_logic_interface_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
160,download_result_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_010_rule_logic_interface_v1/covapie_admit_010_rule_logic_interface_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
161,observed_http_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_010_unified_adapter_contract_design_gate_v1/covapie_admit_010_unified_adapter_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
162,observed_content_length_bytes,data/derived/covalent_small/covapie_bulk_download_admission_admit_010_unified_adapter_contract_design_gate_v1/covapie_admit_010_unified_adapter_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
163,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_010_unified_adapter_contract_design_gate_v1/covapie_admit_010_unified_adapter_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
164,download_result_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_010_unified_adapter_contract_design_gate_v1/covapie_admit_010_unified_adapter_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
165,observed_http_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_011_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_011_formal_evaluator_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
166,observed_content_length_bytes,data/derived/covalent_small/covapie_bulk_download_admission_admit_011_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_011_formal_evaluator_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
167,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_011_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_011_formal_evaluator_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
168,download_result_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_011_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_011_formal_evaluator_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
169,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_011_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_011_raw_target_field_occurrence_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
170,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_011_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_011_raw_target_field_occurrence_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
171,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_011_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_011_raw_target_field_occurrence_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
172,download_result_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_011_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_011_raw_target_field_occurrence_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
173,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_011_formal_evaluator_interface_preconditions_audit_v1/covapie_admit_011_raw_target_field_occurrence_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
174,observed_http_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_011_raw_target_relative_path_contract_v1/covapie_admit_011_raw_target_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
175,observed_content_length_bytes,data/derived/covalent_small/covapie_bulk_download_admission_admit_011_raw_target_relative_path_contract_v1/covapie_admit_011_raw_target_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
176,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_011_raw_target_relative_path_contract_v1/covapie_admit_011_raw_target_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
177,download_result_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_011_raw_target_relative_path_contract_v1/covapie_admit_011_raw_target_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
178,observed_http_status,data/derived/covalent_small/covapie_bulk_download_admission_admit_011_rule_logic_interface_v1/covapie_admit_011_rule_logic_interface_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
179,observed_content_length_bytes,data/derived/covalent_small/covapie_bulk_download_admission_admit_011_rule_logic_interface_v1/covapie_admit_011_rule_logic_interface_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
180,observed_sha256,data/derived/covalent_small/covapie_bulk_download_admission_admit_011_rule_logic_interface_v1/covapie_admit_011_rule_logic_interface_issue_readiness_inventory.csv,derived_csv,field_reference,referencing,unspecified_or_non_authoritative,not_exactly_defined,reference_only,historical_or_reference,non_promoted_reference,true
