case_order,case_id,case_group,admission_rule_id,candidate_representation,batch_context_representation,evaluation_context_representation,download_result_context_representation,stage_authorization_context_representation,expected_outcome_or_error,observed_outcome_or_error,expected_result_json,observed_result_json,expected_call_order,observed_call_order,expected_stage_context_identity_preserved,observed_stage_context_identity_preserved,formal_call_count,oracle_call_count,candidate_key_access_count,adapter_stage_target_access_count,formal_stage_target_access_count,oracle_stage_target_access_count,stage_target_access_count,case_passed
28,source_storage_order,admit014_inherited_exact42_runtime,ADMIT_014,{},None,None,None,None,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,"{""adapter_ready"":false,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""known_rule"":true,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}","{""adapter_ready"":false,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""known_rule"":true,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}",formal,formal,true,true,1,0,0,0,0,0,0,true
29,source_type_drift,admit014_inherited_exact42_runtime,ADMIT_014,{},None,None,None,None,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,"{""adapter_ready"":false,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""known_rule"":true,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}","{""adapter_ready"":false,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""known_rule"":true,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}",formal,formal,true,true,1,0,0,0,0,0,0,true
30,source_invariant,admit014_inherited_exact42_runtime,ADMIT_014,{},None,None,None,None,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,"{""adapter_ready"":false,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""known_rule"":true,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}","{""adapter_ready"":false,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""known_rule"":true,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}",formal,formal,true,true,1,0,0,0,0,0,0,true
31,oracle_wrong_type,admit014_inherited_exact42_runtime,ADMIT_014,{},None,None,None,None,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,"{""adapter_ready"":false,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""known_rule"":true,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}","{""adapter_ready"":false,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""known_rule"":true,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}",formal|oracle,formal|oracle,true,true,1,1,0,0,0,0,0,true
32,oracle_storage,admit014_inherited_exact42_runtime,ADMIT_014,{},None,None,None,None,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,"{""adapter_ready"":false,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""known_rule"":true,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}","{""adapter_ready"":false,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""known_rule"":true,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}",formal|oracle,formal|oracle,true,true,1,1,0,0,0,0,0,true
33,oracle_mismatch,admit014_inherited_exact42_runtime,ADMIT_014,{},None,None,None,None,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,"{""adapter_ready"":false,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""known_rule"":true,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}","{""adapter_ready"":false,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""known_rule"":true,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}",formal|oracle,formal|oracle,true,true,1,1,0,0,0,0,0,true
34,oracle_exception,admit014_inherited_exact42_runtime,ADMIT_014,{},None,None,None,None,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,"{""adapter_ready"":false,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""known_rule"":true,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}","{""adapter_ready"":false,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""known_rule"":true,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}",formal|oracle,formal|oracle,true,true,1,1,0,0,0,0,0,true
35,candidate_fields_empty,admit014_inherited_exact42_runtime,ADMIT_014,{},None,None,None,{target:True},passed,passed,"{""adapter_id"":""covapie_admit_014_unified_adapter_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""blocks_candidate"":false,""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""normalized_values"":[[""current_stage_download_authorized"",""true""]],""outcome"":""passed"",""passed"":true,""reason"":"""",""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""validated_candidate_fields"":[]}","{""adapter_id"":""covapie_admit_014_unified_adapter_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""blocks_candidate"":false,""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""normalized_values"":[[""current_stage_download_authorized"",""true""]],""outcome"":""passed"",""passed"":true,""reason"":"""",""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""validated_candidate_fields"":[]}",formal|oracle,formal|oracle,true,true,1,1,0,0,1,1,2,true
36,consumed_context,admit014_inherited_exact42_runtime,ADMIT_014,{},None,None,None,{target:True},passed,passed,"{""adapter_id"":""covapie_admit_014_unified_adapter_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""blocks_candidate"":false,""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""normalized_values"":[[""current_stage_download_authorized"",""true""]],""outcome"":""passed"",""passed"":true,""reason"":"""",""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""validated_candidate_fields"":[]}","{""adapter_id"":""covapie_admit_014_unified_adapter_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""blocks_candidate"":false,""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""normalized_values"":[[""current_stage_download_authorized"",""true""]],""outcome"":""passed"",""passed"":true,""reason"":"""",""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""validated_candidate_fields"":[]}",formal|oracle,formal|oracle,true,true,1,1,0,0,1,1,2,true
37,false_lowercase,admit014_inherited_exact42_runtime,ADMIT_014,{},None,None,None,{target:False},blocked,blocked,"{""adapter_id"":""covapie_admit_014_unified_adapter_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""blocks_candidate"":true,""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""normalized_values"":[[""current_stage_download_authorized"",""false""]],""outcome"":""blocked"",""passed"":false,""reason"":""BULK_DOWNLOAD_NOT_AUTHORIZED"",""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""validated_candidate_fields"":[]}","{""adapter_id"":""covapie_admit_014_unified_adapter_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""blocks_candidate"":true,""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""normalized_values"":[[""current_stage_download_authorized"",""false""]],""outcome"":""blocked"",""passed"":false,""reason"":""BULK_DOWNLOAD_NOT_AUTHORIZED"",""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""validated_candidate_fields"":[]}",formal|oracle,formal|oracle,true,true,1,1,0,0,1,1,2,true
38,true_lowercase,admit014_inherited_exact42_runtime,ADMIT_014,{},None,None,None,{target:True},passed,passed,"{""adapter_id"":""covapie_admit_014_unified_adapter_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""blocks_candidate"":false,""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""normalized_values"":[[""current_stage_download_authorized"",""true""]],""outcome"":""passed"",""passed"":true,""reason"":"""",""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""validated_candidate_fields"":[]}","{""adapter_id"":""covapie_admit_014_unified_adapter_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""blocks_candidate"":false,""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""normalized_values"":[[""current_stage_download_authorized"",""true""]],""outcome"":""passed"",""passed"":true,""reason"":"""",""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""validated_candidate_fields"":[]}",formal|oracle,formal|oracle,true,true,1,1,0,0,1,1,2,true
39,current_exact13,admit014_inherited_exact42_runtime,ADMIT_014,{},None,None,None,{target:True},passed,passed,"{""adapter_id"":""covapie_admit_014_unified_adapter_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""blocks_candidate"":false,""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""normalized_values"":[[""current_stage_download_authorized"",""true""]],""outcome"":""passed"",""passed"":true,""reason"":"""",""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""validated_candidate_fields"":[]}","{""adapter_id"":""covapie_admit_014_unified_adapter_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""blocks_candidate"":false,""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""normalized_values"":[[""current_stage_download_authorized"",""true""]],""outcome"":""passed"",""passed"":true,""reason"":"""",""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""validated_candidate_fields"":[]}",formal|oracle,formal|oracle,true,true,1,1,0,0,1,1,2,true
40,future_exact14,admit014_inherited_exact42_runtime,ADMIT_014,{},None,None,None,{target:True},passed,passed,"{""adapter_id"":""covapie_admit_014_unified_adapter_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""blocks_candidate"":false,""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""normalized_values"":[[""current_stage_download_authorized"",""true""]],""outcome"":""passed"",""passed"":true,""reason"":"""",""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""validated_candidate_fields"":[]}","{""adapter_id"":""covapie_admit_014_unified_adapter_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""blocks_candidate"":false,""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""normalized_values"":[[""current_stage_download_authorized"",""true""]],""outcome"":""passed"",""passed"":true,""reason"":"""",""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""validated_candidate_fields"":[]}",formal|oracle,formal|oracle,true,true,1,1,0,0,1,1,2,true
41,known_unregistered,admit014_inherited_exact42_runtime,ADMIT_014,{},None,None,None,{target:True},passed,passed,"{""adapter_id"":""covapie_admit_014_unified_adapter_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""blocks_candidate"":false,""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""normalized_values"":[[""current_stage_download_authorized"",""true""]],""outcome"":""passed"",""passed"":true,""reason"":"""",""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""validated_candidate_fields"":[]}","{""adapter_id"":""covapie_admit_014_unified_adapter_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""blocks_candidate"":false,""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""normalized_values"":[[""current_stage_download_authorized"",""true""]],""outcome"":""passed"",""passed"":true,""reason"":"""",""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""validated_candidate_fields"":[]}",formal|oracle,formal|oracle,true,true,1,1,0,0,1,1,2,true
42,handler_identity,admit014_inherited_exact42_runtime,ADMIT_014,{},None,None,None,{target:True},passed,passed,"{""adapter_id"":""covapie_admit_014_unified_adapter_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""blocks_candidate"":false,""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""normalized_values"":[[""current_stage_download_authorized"",""true""]],""outcome"":""passed"",""passed"":true,""reason"":"""",""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""validated_candidate_fields"":[]}","{""adapter_id"":""covapie_admit_014_unified_adapter_v1"",""admission_rule_id"":""ADMIT_014"",""admission_rule_name"":""current_gate_grants_no_download_permission"",""blocks_candidate"":false,""consumed_candidate_fields"":[],""consumed_context_items"":[""current_stage_download_authorized""],""evaluator_io_used"":false,""normalized_values"":[[""current_stage_download_authorized"",""true""]],""outcome"":""passed"",""passed"":true,""reason"":"""",""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""validated_candidate_fields"":[]}",formal|oracle,formal|oracle,true,true,1,1,0,0,1,1,2,true
43,SOURCE_NEGATIVE_wrong_type,admit014_source_negative,ADMIT_014,{},None,None,None,None,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,"{""adapter_ready"":false,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""known_rule"":true,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_TYPE_INVALID""}","{""adapter_ready"":false,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""known_rule"":true,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_TYPE_INVALID""}",formal,formal,true,true,1,0,0,0,0,0,0,true
44,SOURCE_NEGATIVE_subclass,admit014_source_negative,ADMIT_014,{},None,None,None,None,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,"{""adapter_ready"":false,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""known_rule"":true,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_TYPE_INVALID""}","{""adapter_ready"":false,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""known_rule"":true,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_TYPE_INVALID""}",formal,formal,true,true,1,0,0,0,0,0,0,true
45,SOURCE_NEGATIVE_storage_reorder,admit014_source_negative,ADMIT_014,{},None,None,None,None,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,"{""adapter_ready"":false,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""known_rule"":true,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}","{""adapter_ready"":false,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""known_rule"":true,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}",formal,formal,true,true,1,0,0,0,0,0,0,true
46,SOURCE_NEGATIVE_top_level_type,admit014_source_negative,ADMIT_014,{},None,None,None,None,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,"{""adapter_ready"":false,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""known_rule"":true,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}","{""adapter_ready"":false,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""known_rule"":true,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}",formal,formal,true,true,1,0,0,0,0,0,0,true
47,SOURCE_NEGATIVE_rule_id,admit014_source_negative,ADMIT_014,{},None,None,None,None,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,"{""adapter_ready"":false,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""known_rule"":true,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}","{""adapter_ready"":false,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""known_rule"":true,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}",formal,formal,true,true,1,0,0,0,0,0,0,true
48,SOURCE_NEGATIVE_io_true,admit014_source_negative,ADMIT_014,{},None,None,None,None,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,"{""adapter_ready"":false,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""known_rule"":true,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}","{""adapter_ready"":false,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""known_rule"":true,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}",formal,formal,true,true,1,0,0,0,0,0,0,true
49,SOURCE_NEGATIVE_outcome_reason,admit014_source_negative,ADMIT_014,{},None,None,None,None,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,"{""adapter_ready"":false,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""known_rule"":true,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}","{""adapter_ready"":false,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""known_rule"":true,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}",formal,formal,true,true,1,0,0,0,0,0,0,true
50,SOURCE_NEGATIVE_canonical,admit014_source_negative,ADMIT_014,{},None,None,None,None,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,"{""adapter_ready"":false,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""known_rule"":true,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}","{""adapter_ready"":false,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""known_rule"":true,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}",formal,formal,true,true,1,0,0,0,0,0,0,true
51,SOURCE_NEGATIVE_validated,admit014_source_negative,ADMIT_014,{},None,None,None,None,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,"{""adapter_ready"":false,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""known_rule"":true,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}","{""adapter_ready"":false,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""known_rule"":true,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}",formal,formal,true,true,1,0,0,0,0,0,0,true
52,SOURCE_NEGATIVE_consumed,admit014_source_negative,ADMIT_014,{},None,None,None,None,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,"{""adapter_ready"":false,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""known_rule"":true,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}","{""adapter_ready"":false,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""known_rule"":true,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}",formal,formal,true,true,1,0,0,0,0,0,0,true
53,SOURCE_NEGATIVE_exception,admit014_source_negative,ADMIT_014,{},None,None,None,None,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,"{""adapter_ready"":false,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""known_rule"":true,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}","{""adapter_ready"":false,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""known_rule"":true,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}",formal,formal,true,true,1,0,0,0,0,0,0,true
54,ORACLE_NEGATIVE_wrong_type,admit014_oracle_negative,ADMIT_014,{},None,None,None,None,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,"{""adapter_ready"":false,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""known_rule"":true,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}","{""adapter_ready"":false,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""known_rule"":true,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}",formal|oracle,formal|oracle,true,true,1,1,0,0,0,0,0,true
55,ORACLE_NEGATIVE_subclass,admit014_oracle_negative,ADMIT_014,{},None,None,None,None,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,"{""adapter_ready"":false,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""known_rule"":true,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}","{""adapter_ready"":false,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""known_rule"":true,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}",formal|oracle,formal|oracle,true,true,1,1,0,0,0,0,0,true
56,ORACLE_NEGATIVE_storage_reorder,admit014_oracle_negative,ADMIT_014,{},None,None,None,None,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,"{""adapter_ready"":false,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""known_rule"":true,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}","{""adapter_ready"":false,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""known_rule"":true,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}",formal|oracle,formal|oracle,true,true,1,1,0,0,0,0,0,true
57,ORACLE_NEGATIVE_top_level_type,admit014_oracle_negative,ADMIT_014,{},None,None,None,None,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,"{""adapter_ready"":false,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""known_rule"":true,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}","{""adapter_ready"":false,""admission_rule_id"":""ADMIT_014"",""callable_discovered"":true,""code"":""UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY"",""known_rule"":true,""reason"":""ADMIT_014_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID""}",formal|oracle,formal|oracle,true,true,1,1,0,0,0,0,0,true
