case_group,case_id,expected_schema_version,observed_schema_version,expected_outcome,observed_outcome,expected_passed,observed_passed,expected_blocks_download,observed_blocks_download,expected_reason,observed_reason,expected_source_kind,observed_source_kind,expected_source_scope_id,observed_source_scope_id,expected_source_error_code,observed_source_error_code,expected_candidate_count,observed_candidate_count,expected_invalid_candidate_indexes,observed_invalid_candidate_indexes,expected_blocked_candidate_indexes,observed_blocked_candidate_indexes,expected_failing_candidate_indexes,observed_failing_candidate_indexes,expected_action_permission_granted,observed_action_permission_granted,expected_download_action_invoked,observed_download_action_invoked,expected_call_site_io_used,observed_call_site_io_used,exact_decision_type_verified,zero_action_verified,verified
candidate_precedence,blocked_last,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,blocked,blocked,false,false,true,true,BULK_DOWNLOAD_CANDIDATE_VERDICT_BLOCKED,BULK_DOWNLOAD_CANDIDATE_VERDICT_BLOCKED,orchestration_result,orchestration_result,download_execution_permission,download_execution_permission,,,3,3,[],[],[2],[2],[2],[2],false,false,false,false,false,false,true,true,true
candidate_precedence,multiple_blocked,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,blocked,blocked,false,false,true,true,BULK_DOWNLOAD_CANDIDATE_VERDICT_BLOCKED,BULK_DOWNLOAD_CANDIDATE_VERDICT_BLOCKED,orchestration_result,orchestration_result,download_execution_permission,download_execution_permission,,,3,3,[],[],"[0,2]","[0,2]","[0,2]","[0,2]",false,false,false,false,false,false,true,true,true
candidate_precedence,invalid_first,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_CANDIDATE_VERDICT_INVALID,BULK_DOWNLOAD_CANDIDATE_VERDICT_INVALID,orchestration_result,orchestration_result,download_execution_permission,download_execution_permission,,,3,3,[0],[0],[],[],[0],[0],false,false,false,false,false,false,true,true,true
candidate_precedence,invalid_middle,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_CANDIDATE_VERDICT_INVALID,BULK_DOWNLOAD_CANDIDATE_VERDICT_INVALID,orchestration_result,orchestration_result,download_execution_permission,download_execution_permission,,,3,3,[1],[1],[],[],[1],[1],false,false,false,false,false,false,true,true,true
candidate_precedence,invalid_last,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_CANDIDATE_VERDICT_INVALID,BULK_DOWNLOAD_CANDIDATE_VERDICT_INVALID,orchestration_result,orchestration_result,download_execution_permission,download_execution_permission,,,3,3,[2],[2],[],[],[2],[2],false,false,false,false,false,false,true,true,true
candidate_precedence,multiple_invalid,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_CANDIDATE_VERDICT_INVALID,BULK_DOWNLOAD_CANDIDATE_VERDICT_INVALID,orchestration_result,orchestration_result,download_execution_permission,download_execution_permission,,,3,3,"[0,2]","[0,2]",[],[],"[0,2]","[0,2]",false,false,false,false,false,false,true,true,true
candidate_precedence,blocked_and_invalid,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_CANDIDATE_VERDICT_INVALID,BULK_DOWNLOAD_CANDIDATE_VERDICT_INVALID,orchestration_result,orchestration_result,download_execution_permission,download_execution_permission,,,2,2,[1],[1],[0],[0],"[0,1]","[0,1]",false,false,false,false,false,false,true,true,true
candidate_precedence,invalid_and_blocked,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_CANDIDATE_VERDICT_INVALID,BULK_DOWNLOAD_CANDIDATE_VERDICT_INVALID,orchestration_result,orchestration_result,download_execution_permission,download_execution_permission,,,2,2,[0],[0],[1],[1],"[0,1]","[0,1]",false,false,false,false,false,false,true,true,true
candidate_precedence,action_true_precedes_invalid_and_blocked,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_ACTION_PERMISSION_TRANSITION_UNAUTHORIZED,BULK_DOWNLOAD_ACTION_PERMISSION_TRANSITION_UNAUTHORIZED,orchestration_result,orchestration_result,download_execution_permission,download_execution_permission,,,2,2,[1],[1],[0],[0],"[0,1]","[0,1]",true,true,false,false,false,false,true,true,true
precedence,io_true_precedes_candidate_blocked,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_STAGE_IO_INVARIANT_INVALID,BULK_DOWNLOAD_STAGE_IO_INVARIANT_INVALID,orchestration_result,orchestration_result,download_execution_permission,download_execution_permission,,,1,1,[],[],[],[],[],[],false,false,false,false,false,false,true,true,true
current_real_path,committed_orchestrator_download_scope,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,blocked,blocked,false,false,true,true,BULK_DOWNLOAD_CANDIDATE_VERDICT_BLOCKED,BULK_DOWNLOAD_CANDIDATE_VERDICT_BLOCKED,orchestration_result,orchestration_result,download_execution_permission,download_execution_permission,,,1,1,[],[],[0],[0],[0],[0],false,false,false,false,false,false,true,true,true
cross_phase_precedence,cardinality_precedes_wrong_result_and_error_types,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_CALL_SITE_INPUT_CARDINALITY_INVALID,BULK_DOWNLOAD_CALL_SITE_INPUT_CARDINALITY_INVALID,invalid_input,invalid_input,,,,,0,0,[],[],[],[],[],[],false,false,false,false,false,false,true,true,true
cross_phase_precedence,stage_invariant_precedes_scope_io_permission_candidate,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,BULK_DOWNLOAD_STAGE_RESULT_INVARIANT_INVALID,orchestration_result,orchestration_result,,,,,0,0,[],[],[],[],[],[],false,false,false,false,false,false,true,true,true
cross_phase_precedence,wrong_scope_precedes_io_permission_candidate,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_STAGE_SCOPE_INVALID,BULK_DOWNLOAD_STAGE_SCOPE_INVALID,orchestration_result,orchestration_result,post_download_acceptance_permission,post_download_acceptance_permission,,,2,2,[],[],[],[],[],[],true,true,false,false,false,false,true,true,true
cross_phase_precedence,io_precedes_permission_and_candidate,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_STAGE_IO_INVARIANT_INVALID,BULK_DOWNLOAD_STAGE_IO_INVARIANT_INVALID,orchestration_result,orchestration_result,download_execution_permission,download_execution_permission,,,2,2,[],[],[],[],[],[],true,true,false,false,false,false,true,true,true
cross_phase_precedence,action_permission_precedes_invalid_and_blocked,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_ACTION_PERMISSION_TRANSITION_UNAUTHORIZED,BULK_DOWNLOAD_ACTION_PERMISSION_TRANSITION_UNAUTHORIZED,orchestration_result,orchestration_result,download_execution_permission,download_execution_permission,,,2,2,[1],[1],[0],[0],"[0,1]","[0,1]",true,true,false,false,false,false,true,true,true
cross_phase_precedence,candidate_invalid_precedes_blocked,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_CANDIDATE_VERDICT_INVALID,BULK_DOWNLOAD_CANDIDATE_VERDICT_INVALID,orchestration_result,orchestration_result,download_execution_permission,download_execution_permission,,,2,2,[1],[1],[0],[0],"[0,1]","[0,1]",false,false,false,false,false,false,true,true,true
cross_phase_precedence,candidate_blocked_precedes_permission_not_granted,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,blocked,blocked,false,false,true,true,BULK_DOWNLOAD_CANDIDATE_VERDICT_BLOCKED,BULK_DOWNLOAD_CANDIDATE_VERDICT_BLOCKED,orchestration_result,orchestration_result,download_execution_permission,download_execution_permission,,,2,2,[],[],[1],[1],[1],[1],false,false,false,false,false,false,true,true,true
cross_phase_precedence,cross_all_passed_permission_false,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,blocked,blocked,false,false,true,true,BULK_DOWNLOAD_ACTION_PERMISSION_NOT_GRANTED,BULK_DOWNLOAD_ACTION_PERMISSION_NOT_GRANTED,orchestration_result,orchestration_result,download_execution_permission,download_execution_permission,,,2,2,[],[],[],[],[],[],false,false,false,false,false,false,true,true,true
cross_phase_precedence,legal_error_precedes_success_shaped_coordinates,covapie_bulk_download_stage_orchestration_call_site_decision_v1,covapie_bulk_download_stage_orchestration_call_site_decision_v1,invalid,invalid,false,false,true,true,BULK_DOWNLOAD_ORCHESTRATION_ERROR_FAIL_CLOSED,BULK_DOWNLOAD_ORCHESTRATION_ERROR_FAIL_CLOSED,orchestration_error,orchestration_error,download_execution_permission,download_execution_permission,STAGE_ORCHESTRATION_AGGREGATOR_RESULT_INVARIANT_INVALID,STAGE_ORCHESTRATION_AGGREGATOR_RESULT_INVARIANT_INVALID,0,0,[],[],[],[],[],[],false,false,false,false,false,false,true,true,true
