occurrence_order,source_relative_path,source_sha256,source_kind,symbol_or_row_id,matched_term,field_role,rule_scope,semantic_statement,authoritative_for_admit008_formal_semantics,occurrence_passed
81,src/covalent_ext/real_covalent_confirmed_candidate_ligand_topology_policy_review_gate.py,cf6e3c608be29faeb5c7ffc2f247aafee3863ab483357ad3fcae1d7250741136,production_source,line_326,topology_smoke_must_not_generalize_to_non_cys,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
82,src/covalent_ext/real_covalent_confirmed_candidate_ligand_topology_policy_review_gate.py,cf6e3c608be29faeb5c7ffc2f247aafee3863ab483357ad3fcae1d7250741136,production_source,line_327,topology_smoke_must_not_generalize_to_non_cys,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
83,src/covalent_ext/real_covalent_confirmed_candidate_ligand_topology_policy_review_gate.py,cf6e3c608be29faeb5c7ffc2f247aafee3863ab483357ad3fcae1d7250741136,production_source,line_404,v1_train_ready_scope,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
84,src/covalent_ext/real_covalent_confirmed_candidate_ligand_topology_policy_review_gate.py,cf6e3c608be29faeb5c7ffc2f247aafee3863ab483357ad3fcae1d7250741136,production_source,line_438,topology_smoke_must_not_auto_restore_ligand,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
85,src/covalent_ext/real_covalent_confirmed_candidate_ligand_topology_policy_review_gate.py,cf6e3c608be29faeb5c7ffc2f247aafee3863ab483357ad3fcae1d7250741136,production_source,line_439,topology_smoke_must_not_generalize_to_non_cys,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
86,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_policy_review_gate_v0/ligand_topology_policy_review_decision_contract.csv,5b5bb3d4dec353c8dbeb4fce7aa840846464721d9fbd960835c052eaa4ed8a6a,committed_contract_csv,line_3,v1_train_ready_scope,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
87,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_policy_review_gate_v0/ligand_topology_policy_review_decision_contract.csv,5b5bb3d4dec353c8dbeb4fce7aa840846464721d9fbd960835c052eaa4ed8a6a,committed_contract_csv,line_6,unknown_residue_warhead_pair_quarantined,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
88,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_policy_review_gate_v0/ligand_topology_policy_review_gate_manifest.json,c1e24b4e583fa10c5338a6a9907b0fd683b51b34c8e26aaa5275ad5afb899bb9,committed_manifest,line_73,topology_smoke_must_not_auto_restore_ligand,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
89,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_policy_review_gate_v0/ligand_topology_policy_review_gate_manifest.json,c1e24b4e583fa10c5338a6a9907b0fd683b51b34c8e26aaa5275ad5afb899bb9,committed_manifest,line_75,topology_smoke_must_not_generalize_to_non_cys,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
90,data/derived/covalent_small/real_covalent_confirmed_candidate_ligand_topology_policy_review_gate_v0/ligand_topology_policy_review_gate_manifest.json,c1e24b4e583fa10c5338a6a9907b0fd683b51b34c8e26aaa5275ad5afb899bb9,committed_manifest,line_84,v1_train_ready_scope,topology policy evidence,Step13M/Step13N policy scope,policy evidence constrains safety but does not freeze the candidate scalar interface,false,true
