scaleup_rank,tranche,selection_priority_pass,canonical_event_id,pdb_id,protein_label_asym_id,protein_auth_chain,protein_residue_name,protein_residue_number,protein_reactive_atom,ligand_component_id,ligand_instance,ligand_reactive_atom,canonical_source_dataset_count,source_record_provenance_count,source_datasets_json,source_provenance_identities_json,historical_pilot_processed,historical_bulk_structure_acquisition_status,historical_terminal_route,historical_terminal_reasons_json,current_123_two_rule_routing_population_overlap,structure_execution_status,task_domain_rule_evaluation_status
114,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1NL6:B:CYS:25-:SG:D:750:C31,1NL6,B,,CYS,25,SG,750,D,C31,2,2,"[""SOURCE_COVBINDERINPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR003076"",""SOURCE_RCSB_PDB_DIRECT:1NL6:covale2""]",true,PASSED,LEAKAGE_EXISTING_GROUP_CONFLICT,"[""LEAKAGE_EXISTING_GROUP_CONFLICT""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
115,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1NLJ:A:CYS:25-:SG:C:2CA:C07,1NLJ,A,,CYS,25,SG,2CA,C,C07,3,3,"[""SOURCE_COVBINDERINPDB"",""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR003072"",""SOURCE_COVPDB:CovPDB_complexes/1nlj/1nlj.pdb#LINK00405"",""SOURCE_RCSB_PDB_DIRECT:1NLJ:covale1""]",true,PASSED,LEAKAGE_EXISTING_GROUP_CONFLICT,"[""LEAKAGE_EXISTING_GROUP_CONFLICT""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
116,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1NLJ:B:CYS:25-:SG:D:2CA:C07,1NLJ,B,,CYS,25,SG,2CA,D,C07,3,3,"[""SOURCE_COVBINDERINPDB"",""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR003073"",""SOURCE_COVPDB:CovPDB_complexes/1nlj/1nlj.pdb#LINK00406"",""SOURCE_RCSB_PDB_DIRECT:1NLJ:covale2""]",true,PASSED,LEAKAGE_EXISTING_GROUP_CONFLICT,"[""LEAKAGE_EXISTING_GROUP_CONFLICT""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
117,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1NME:A:CYS:163-:SG:C:158:C1,1NME,A,,CYS,163,SG,158,C,C1,2,2,"[""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVPDB:CovPDB_complexes/1nme/1nme.pdb#LINK00459"",""SOURCE_RCSB_PDB_DIRECT:1NME:covale1""]",true,PASSED,STRUCTURAL_EVIDENCE_INCOMPLETE,"[""MMCIF_EXACT_CYS_SG_STRUCT_CONN_NOT_RECOVERED""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
118,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1NMQ:A:CYS:163-:SG:C:160:C1,1NMQ,A,,CYS,163,SG,160,C,C1,2,2,"[""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVPDB:CovPDB_complexes/1nmq/1nmq.pdb#LINK00460"",""SOURCE_RCSB_PDB_DIRECT:1NMQ:covale1""]",true,PASSED,LEAKAGE_EXISTING_GROUP_CONFLICT,"[""LEAKAGE_EXISTING_GROUP_CONFLICT""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
119,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1NMQ:B:CYS:163-:SG:D:160:C1,1NMQ,B,,CYS,163,SG,160,D,C1,2,2,"[""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVPDB:CovPDB_complexes/1nmq/1nmq.pdb#LINK00461"",""SOURCE_RCSB_PDB_DIRECT:1NMQ:covale2""]",true,PASSED,LEAKAGE_EXISTING_GROUP_CONFLICT,"[""LEAKAGE_EXISTING_GROUP_CONFLICT""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
120,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1NMS:A:CYS:163-:SG:C:161:C1,1NMS,A,,CYS,163,SG,161,C,C1,2,2,"[""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVPDB:CovPDB_complexes/1nms/1nms.pdb#LINK00469"",""SOURCE_RCSB_PDB_DIRECT:1NMS:covale1""]",true,PASSED,LEAKAGE_EXISTING_GROUP_CONFLICT,"[""LEAKAGE_EXISTING_GROUP_CONFLICT""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
121,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1NMS:B:CYS:163-:SG:D:161:C1,1NMS,B,,CYS,163,SG,161,D,C1,2,2,"[""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVPDB:CovPDB_complexes/1nms/1nms.pdb#LINK00470"",""SOURCE_RCSB_PDB_DIRECT:1NMS:covale2""]",true,PASSED,LEAKAGE_EXISTING_GROUP_CONFLICT,"[""LEAKAGE_EXISTING_GROUP_CONFLICT""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
122,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1NPZ:A:CYS:25-:SG:C:C1P:C18,1NPZ,A,,CYS,25,SG,C1P,C,C18,2,2,"[""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVPDB:CovPDB_complexes/1npz/1npz.pdb#LINK00443"",""SOURCE_RCSB_PDB_DIRECT:1NPZ:covale1""]",true,PASSED,LEAKAGE_EXISTING_GROUP_CONFLICT,"[""LEAKAGE_EXISTING_GROUP_CONFLICT""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
123,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1NPZ:B:CYS:275-:SG:D:C1P:C18,1NPZ,B,,CYS,275,SG,C1P,D,C18,2,2,"[""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVPDB:CovPDB_complexes/1npz/1npz.pdb#LINK00444"",""SOURCE_RCSB_PDB_DIRECT:1NPZ:covale2""]",true,PASSED,LEAKAGE_EXISTING_GROUP_CONFLICT,"[""LEAKAGE_EXISTING_GROUP_CONFLICT""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
124,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1NQC:A:CYS:25-:SG:B:C4P:C56,1NQC,A,,CYS,25,SG,C4P,B,C56,3,3,"[""SOURCE_COVBINDERINPDB"",""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR003018"",""SOURCE_COVPDB:CovPDB_complexes/1nqc/1nqc.pdb#LINK00356"",""SOURCE_RCSB_PDB_DIRECT:1NQC:covale1""]",true,PASSED,LEAKAGE_EXISTING_GROUP_CONFLICT,"[""LEAKAGE_EXISTING_GROUP_CONFLICT""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
125,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1NWE:A:CYS:47-:SG:B:FG1:C2,1NWE,A,,CYS,47,SG,FG1,B,C2,2,2,"[""SOURCE_COVBINDERINPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR000686"",""SOURCE_RCSB_PDB_DIRECT:1NWE:covale1""]",true,PASSED,STRUCTURAL_EVIDENCE_INCOMPLETE,"[""MMCIF_EXACT_CYS_SG_STRUCT_CONN_NOT_RECOVERED""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
126,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1O41:A:CYS:44-:SG:B:300:C10,1O41,A,,CYS,44,SG,300,B,C10,2,2,"[""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVPDB:CovPDB_complexes/1o41/1o41.pdb#LINK00320"",""SOURCE_RCSB_PDB_DIRECT:1O41:covale1""]",true,PASSED,STRUCTURAL_EVIDENCE_INCOMPLETE,"[""MMCIF_EXACT_CYS_SG_STRUCT_CONN_NOT_RECOVERED""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
127,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1O43:A:CYS:44-:SG:B:821:C71,1O43,A,,CYS,44,SG,821,B,C71,2,2,"[""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVPDB:CovPDB_complexes/1o43/1o43.pdb#LINK00309"",""SOURCE_RCSB_PDB_DIRECT:1O43:covale1""]",true,PASSED,STRUCTURAL_EVIDENCE_INCOMPLETE,"[""MMCIF_EXACT_CYS_SG_STRUCT_CONN_NOT_RECOVERED""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
128,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1O45:A:CYS:44-:SG:B:687:C75,1O45,A,,CYS,44,SG,687,B,C75,2,2,"[""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVPDB:CovPDB_complexes/1o45/1o45.pdb#LINK00326"",""SOURCE_RCSB_PDB_DIRECT:1O45:covale1""]",true,PASSED,STRUCTURAL_EVIDENCE_INCOMPLETE,"[""MMCIF_EXACT_CYS_SG_STRUCT_CONN_NOT_RECOVERED""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
129,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1O4A:A:CYS:44-:SG:B:197:C71,1O4A,A,,CYS,44,SG,197,B,C71,2,2,"[""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVPDB:CovPDB_complexes/1o4a/1o4a.pdb#LINK00326"",""SOURCE_RCSB_PDB_DIRECT:1O4A:covale1""]",true,PASSED,STRUCTURAL_EVIDENCE_INCOMPLETE,"[""MMCIF_EXACT_CYS_SG_STRUCT_CONN_NOT_RECOVERED""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
130,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1O4D:A:CYS:44-:SG:B:262:C7,1O4D,A,,CYS,44,SG,262,B,C7,2,2,"[""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVPDB:CovPDB_complexes/1o4d/1o4d.pdb#LINK00302"",""SOURCE_RCSB_PDB_DIRECT:1O4D:covale1""]",true,PASSED,STRUCTURAL_EVIDENCE_INCOMPLETE,"[""MMCIF_EXACT_CYS_SG_STRUCT_CONN_NOT_RECOVERED""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
131,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1O4E:A:CYS:44-:SG:B:299:C11,1O4E,A,,CYS,44,SG,299,B,C11,2,2,"[""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVPDB:CovPDB_complexes/1o4e/1o4e.pdb#LINK00315"",""SOURCE_RCSB_PDB_DIRECT:1O4E:covale1""]",true,PASSED,STRUCTURAL_EVIDENCE_INCOMPLETE,"[""MMCIF_EXACT_CYS_SG_STRUCT_CONN_NOT_RECOVERED""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
132,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1O4I:A:CYS:44-:SG:B:219:C7,1O4I,A,,CYS,44,SG,219,B,C7,2,2,"[""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVPDB:CovPDB_complexes/1o4i/1o4i.pdb#LINK00340"",""SOURCE_RCSB_PDB_DIRECT:1O4I:covale1""]",true,PASSED,STRUCTURAL_EVIDENCE_INCOMPLETE,"[""MMCIF_EXACT_CYS_SG_STRUCT_CONN_NOT_RECOVERED""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
133,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1O4K:A:CYS:44-:SG:B:PSN:C7,1O4K,A,,CYS,44,SG,PSN,B,C7,2,2,"[""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVPDB:CovPDB_complexes/1o4k/1o4k.pdb#LINK00296"",""SOURCE_RCSB_PDB_DIRECT:1O4K:covale1""]",true,PASSED,STRUCTURAL_EVIDENCE_INCOMPLETE,"[""MMCIF_EXACT_CYS_SG_STRUCT_CONN_NOT_RECOVERED""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
134,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1OFE:A:CYS:1-:SG:F:ONL:CE,1OFE,A,,CYS,1,SG,ONL,F,CE,3,3,"[""SOURCE_COVBINDERINPDB"",""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR001756"",""SOURCE_COVPDB:CovPDB_complexes/1ofe/1ofe.pdb#LINK01350"",""SOURCE_RCSB_PDB_DIRECT:1OFE:covale1""]",true,PASSED,HUMAN_REVIEW_REQUIRED_PRE_CHEMISTRY,"[""PRE_CHEMISTRY_NOT_PRODUCTION_AUTHORITATIVE"",""NO_FAMILY_LEVEL_AUTO_ADMISSION""]",true,HISTORICAL_PROCESSING_ALREADY_EXECUTED,CURRENT_TWO_RULE_ROUTING_EVALUATED
135,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1PE6:A:CYS:25-:SG:B:E6C:C2,1PE6,A,,CYS,25,SG,E6C,B,C2,2,2,"[""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVPDB:CovPDB_complexes/1pe6/1pe6.pdb#LINK00474"",""SOURCE_RCSB_PDB_DIRECT:1PE6:covale1""]",true,PASSED,LEAKAGE_EXISTING_GROUP_CONFLICT,"[""LEAKAGE_EXISTING_GROUP_CONFLICT""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
136,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1PPP:A:CYS:25-:SG:B:E6C:C2,1PPP,A,,CYS,25,SG,E6C,B,C2,3,3,"[""SOURCE_COVBINDERINPDB"",""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR003561"",""SOURCE_COVPDB:CovPDB_complexes/1ppp/1ppp.pdb#LINK00537"",""SOURCE_RCSB_PDB_DIRECT:1PPP:covale1""]",true,PASSED,LEAKAGE_EXISTING_GROUP_CONFLICT,"[""LEAKAGE_EXISTING_GROUP_CONFLICT""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
137,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1PPV:B:CYS:67-:SG:H:BHI:C10,1PPV,B,,CYS,67,SG,BHI,H,C10,2,2,"[""SOURCE_COVBINDERINPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR003565"",""SOURCE_RCSB_PDB_DIRECT:1PPV:covale2""]",true,PASSED,QUARANTINE_REPRESENTATION_GAP,"[""PRE_ONLY_ATOMS_CANNOT_BE_DROPPED_OR_GIVEN_COORDINATES""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
138,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1PY0:A:CYS:51-:SG:E:YMA:S1,1PY0,A,,CYS,51,SG,YMA,E,S1,2,2,"[""SOURCE_COVBINDERINPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR001259"",""SOURCE_RCSB_PDB_DIRECT:1PY0:covale1""]",true,PASSED,HUMAN_REVIEW_REQUIRED_PRE_CHEMISTRY,"[""PRE_CHEMISTRY_NOT_PRODUCTION_AUTHORITATIVE"",""NO_FAMILY_LEVEL_AUTO_ADMISSION""]",true,HISTORICAL_PROCESSING_ALREADY_EXECUTED,CURRENT_TWO_RULE_ROUTING_EVALUATED
139,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1PY0:A:CYS:54-:SG:E:YMA:S2,1PY0,A,,CYS,54,SG,YMA,E,S2,2,2,"[""SOURCE_COVBINDERINPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR001260"",""SOURCE_RCSB_PDB_DIRECT:1PY0:covale2""]",true,PASSED,HUMAN_REVIEW_REQUIRED_PRE_CHEMISTRY,"[""PRE_CHEMISTRY_NOT_PRODUCTION_AUTHORITATIVE"",""NO_FAMILY_LEVEL_AUTO_ADMISSION""]",true,HISTORICAL_PROCESSING_ALREADY_EXECUTED,CURRENT_TWO_RULE_ROUTING_EVALUATED
140,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1Q6K:A:CYS:25-:SG:C:TCO:C,1Q6K,A,,CYS,25,SG,TCO,C,C,2,2,"[""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVPDB:CovPDB_complexes/1q6k/1q6k.pdb#LINK00330"",""SOURCE_RCSB_PDB_DIRECT:1Q6K:covale1""]",true,PASSED,LEAKAGE_EXISTING_GROUP_CONFLICT,"[""LEAKAGE_EXISTING_GROUP_CONFLICT""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
141,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1QA7:A:CYS:172-:SG:E:IVF:CH3,1QA7,A,,CYS,172,SG,IVF,E,CH3,3,3,"[""SOURCE_COVBINDERINPDB"",""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR000028"",""SOURCE_COVPDB:CovPDB_complexes/1qa7/1qa7.pdb#LINK00698"",""SOURCE_RCSB_PDB_DIRECT:1QA7:covale1""]",true,PASSED,LEAKAGE_EXISTING_GROUP_CONFLICT,"[""LEAKAGE_EXISTING_GROUP_CONFLICT""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
142,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1QA7:B:CYS:172-:SG:F:IVF:CH3,1QA7,B,,CYS,172,SG,IVF,F,CH3,3,3,"[""SOURCE_COVBINDERINPDB"",""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR000025"",""SOURCE_COVPDB:CovPDB_complexes/1qa7/1qa7.pdb#LINK00695"",""SOURCE_RCSB_PDB_DIRECT:1QA7:covale2""]",true,PASSED,LEAKAGE_EXISTING_GROUP_CONFLICT,"[""LEAKAGE_EXISTING_GROUP_CONFLICT""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
143,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1QA7:C:CYS:172-:SG:G:IVF:CH3,1QA7,C,,CYS,172,SG,IVF,G,CH3,3,3,"[""SOURCE_COVBINDERINPDB"",""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR000027"",""SOURCE_COVPDB:CovPDB_complexes/1qa7/1qa7.pdb#LINK00697"",""SOURCE_RCSB_PDB_DIRECT:1QA7:covale3""]",true,PASSED,LEAKAGE_EXISTING_GROUP_CONFLICT,"[""LEAKAGE_EXISTING_GROUP_CONFLICT""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
144,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1QA7:D:CYS:172-:SG:H:IVF:CH3,1QA7,D,,CYS,172,SG,IVF,H,CH3,3,3,"[""SOURCE_COVBINDERINPDB"",""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR000026"",""SOURCE_COVPDB:CovPDB_complexes/1qa7/1qa7.pdb#LINK00696"",""SOURCE_RCSB_PDB_DIRECT:1QA7:covale4""]",true,PASSED,LEAKAGE_EXISTING_GROUP_CONFLICT,"[""LEAKAGE_EXISTING_GROUP_CONFLICT""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
145,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1QDQ:A:CYS:29-:SG:B:074:C6,1QDQ,A,,CYS,29,SG,074,B,C6,3,3,"[""SOURCE_COVBINDERINPDB"",""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVBINDERINPDB:CBR000260"",""SOURCE_COVPDB:CovPDB_complexes/1qdq/1qdq.pdb#LINK00423"",""SOURCE_RCSB_PDB_DIRECT:1QDQ:covale1""]",true,PASSED,LEAKAGE_EXISTING_GROUP_CONFLICT,"[""LEAKAGE_EXISTING_GROUP_CONFLICT""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
146,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1QFM:A:CYS:532-:SG:E:SGM:S1,1QFM,A,,CYS,532,SG,SGM,E,S1,2,2,"[""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVPDB:CovPDB_complexes/1qfm/1qfm.pdb#LINK00482"",""SOURCE_RCSB_PDB_DIRECT:1QFM:covale10""]",true,PASSED,HUMAN_REVIEW_REQUIRED_PRE_CHEMISTRY,"[""PRE_CHEMISTRY_NOT_PRODUCTION_AUTHORITATIVE"",""NO_FAMILY_LEVEL_AUTO_ADMISSION""]",true,HISTORICAL_PROCESSING_ALREADY_EXECUTED,CURRENT_TWO_RULE_ROUTING_EVALUATED
147,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1QFM:A:CYS:78-:SG:D:SGM:S1,1QFM,A,,CYS,78,SG,SGM,D,S1,2,2,"[""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVPDB:CovPDB_complexes/1qfm/1qfm.pdb#LINK00481"",""SOURCE_RCSB_PDB_DIRECT:1QFM:covale5""]",true,PASSED,HUMAN_REVIEW_REQUIRED_PRE_CHEMISTRY,"[""PRE_CHEMISTRY_NOT_PRODUCTION_AUTHORITATIVE"",""NO_FAMILY_LEVEL_AUTO_ADMISSION""]",true,HISTORICAL_PROCESSING_ALREADY_EXECUTED,CURRENT_TWO_RULE_ROUTING_EVALUATED
148,HISTORICAL_PILOT_001_250,MULTI_SOURCE_PROVENANCE,COVAPIE_CYS_SG_EVENT_V1:1QWZ:A:CYS:223-:SG:G:ETM:SD,1QWZ,A,,CYS,223,SG,ETM,G,SD,2,2,"[""SOURCE_COVPDB"",""SOURCE_RCSB_PDB_DIRECT""]","[""SOURCE_COVPDB:CovPDB_complexes/1qwz/1qwz.pdb#LINK00403"",""SOURCE_RCSB_PDB_DIRECT:1QWZ:covale1""]",true,PASSED,LEAKAGE_EXISTING_GROUP_CONFLICT,"[""LEAKAGE_EXISTING_GROUP_CONFLICT""]",false,HISTORICAL_PROCESSING_ALREADY_EXECUTED,HISTORICAL_PROCESSED_OUTSIDE_CURRENT_123_ROUTING_POPULATION
