case_order,case_id,case_group,entrypoint,rule_id_representation,candidate_record_representation,batch_context_representation,evaluation_context_representation,download_result_context_representation,stage_authorization_context_representation,lookup_order,evaluation_lookup_count,download_lookup_count,candidate_key_access_count,formal_call_count,oracle_call_count,expected_result_or_error,observed_result_or_error,old_handler_identity_preserved,case_passed
246,EXACT11_EXACT10_EXACT9_A009_EXACT32_batch_one_unrelated,predecessor_exact11_regression,evaluate_admission_rule,'ADMIT_009',source_case_or_default_empty_mapping,source_case_or_default,source_case_or_default,source_case_or_default,source_case_or_default,,0,0,0,0,0,"{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_009\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}","{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_009\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}",true,true
247,EXACT11_EXACT10_EXACT9_A009_EXACT32_batch_one_matching,predecessor_exact11_regression,evaluate_admission_rule,'ADMIT_009',source_case_or_default_empty_mapping,source_case_or_default,source_case_or_default,source_case_or_default,source_case_or_default,,0,0,0,0,0,"{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_009\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}","{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_009\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}",true,true
248,EXACT11_EXACT10_EXACT9_A009_EXACT32_batch_multiple_contains,predecessor_exact11_regression,evaluate_admission_rule,'ADMIT_009',source_case_or_default_empty_mapping,source_case_or_default,source_case_or_default,source_case_or_default,source_case_or_default,,0,0,0,0,0,"{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_009\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}","{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_009\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}",true,true
249,EXACT11_EXACT10_EXACT9_A009_EXACT32_canonical_unique_passed,predecessor_exact11_regression,evaluate_admission_rule,'ADMIT_009',source_case_or_default_empty_mapping,source_case_or_default,source_case_or_default,source_case_or_default,source_case_or_default,,0,0,0,0,0,"{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_009\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}","{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_009\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}",true,true
250,EXACT11_EXACT10_EXACT9_A009_EXACT32_canonical_duplicate_blocked,predecessor_exact11_regression,evaluate_admission_rule,'ADMIT_009',source_case_or_default_empty_mapping,source_case_or_default,source_case_or_default,source_case_or_default,source_case_or_default,,0,0,0,0,0,"{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_009\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}","{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_009\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}",true,true
251,EXACT11_EXACT10_EXACT9_A009_EXACT32_policy_invalid_retains_pair,predecessor_exact11_regression,evaluate_admission_rule,'ADMIT_009',source_case_or_default_empty_mapping,source_case_or_default,source_case_or_default,source_case_or_default,source_case_or_default,,0,0,0,0,0,"{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_009\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}","{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_009\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}",true,true
252,EXACT11_EXACT10_EXACT9_A009_EXACT32_batch_invalid_retains_pair,predecessor_exact11_regression,evaluate_admission_rule,'ADMIT_009',source_case_or_default_empty_mapping,source_case_or_default,source_case_or_default,source_case_or_default,source_case_or_default,,0,0,0,0,0,"{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_009\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}","{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_009\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}",true,true
253,EXACT11_EXACT10_EXACT9_A009_CONTEXT_batch_mapping,predecessor_exact11_regression,evaluate_admission_rule,'ADMIT_009',source_case_or_default_empty_mapping,source_case_or_default,source_case_or_default,source_case_or_default,source_case_or_default,,0,0,0,0,0,"{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_009\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}","{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_009\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}",true,true
254,EXACT11_EXACT10_EXACT9_A009_CONTEXT_batch_key,predecessor_exact11_regression,evaluate_admission_rule,'ADMIT_009',source_case_or_default_empty_mapping,source_case_or_default,source_case_or_default,source_case_or_default,source_case_or_default,,0,0,0,0,0,"{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_009\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}","{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_009\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}",true,true
255,EXACT11_EXACT10_EXACT9_A009_CONTEXT_evaluation_mapping,predecessor_exact11_regression,evaluate_admission_rule,'ADMIT_009',source_case_or_default_empty_mapping,source_case_or_default,source_case_or_default,source_case_or_default,source_case_or_default,,0,0,0,0,0,"{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_009\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}","{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_009\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}",true,true
256,EXACT11_EXACT10_EXACT9_A009_CONTEXT_evaluation_key,predecessor_exact11_regression,evaluate_admission_rule,'ADMIT_009',source_case_or_default_empty_mapping,source_case_or_default,source_case_or_default,source_case_or_default,source_case_or_default,,0,0,0,0,0,"{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_009\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}","{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_009\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}",true,true
257,EXACT11_EXACT10_EXACT9_A009_CONTEXT_download_none,predecessor_exact11_regression,evaluate_admission_rule,'ADMIT_009',source_case_or_default_empty_mapping,source_case_or_default,source_case_or_default,source_case_or_default,source_case_or_default,,0,0,0,0,0,"{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_009\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}","{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_009\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}",true,true
258,EXACT11_EXACT10_EXACT9_A009_CONTEXT_stage_none,predecessor_exact11_regression,evaluate_admission_rule,'ADMIT_009',source_case_or_default_empty_mapping,source_case_or_default,source_case_or_default,source_case_or_default,source_case_or_default,,0,0,0,0,0,"{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_009\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}","{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_009\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}",true,true
259,EXACT11_EXACT10_EXACT9_A009_CONTEXT_precedence,predecessor_exact11_regression,evaluate_admission_rule,'ADMIT_009',source_case_or_default_empty_mapping,source_case_or_default,source_case_or_default,source_case_or_default,source_case_or_default,,0,0,0,0,0,"{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_009\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}","{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_009\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}",true,true
260,EXACT11_EXACT10_EXACT9_A009_CONTEXT_candidate_bomb,predecessor_exact11_regression,evaluate_admission_rule,'ADMIT_009',source_case_or_default_empty_mapping,source_case_or_default,source_case_or_default,source_case_or_default,source_case_or_default,,0,0,0,0,0,"{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_009\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}","{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_009\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}",true,true
261,EXACT11_EXACT10_EXACT9_A009_CANDIDATE_non_mapping,predecessor_exact11_regression,evaluate_admission_rule,'ADMIT_009',source_case_or_default_empty_mapping,source_case_or_default,source_case_or_default,source_case_or_default,source_case_or_default,,0,0,0,0,0,"{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_009\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}","{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_009\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}",true,true
262,EXACT11_EXACT10_EXACT9_A009_CANDIDATE_key_missing,predecessor_exact11_regression,evaluate_admission_rule,'ADMIT_009',source_case_or_default_empty_mapping,source_case_or_default,source_case_or_default,source_case_or_default,source_case_or_default,,0,0,0,0,0,"{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_009\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}","{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_009\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}",true,true
263,EXACT11_EXACT10_EXACT9_A009_LOOKUP_single_and_mapping_subclass,predecessor_exact11_regression,evaluate_admission_rule,'ADMIT_009',source_case_or_default_empty_mapping,source_case_or_default,source_case_or_default,source_case_or_default,source_case_or_default,,0,0,0,0,0,"{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_009\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}","{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_009\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}",true,true
264,EXACT11_EXACT10_EXACT9_A009_LOOKUP_batch_non_key_error,predecessor_exact11_regression,evaluate_admission_rule,'ADMIT_009',source_case_or_default_empty_mapping,source_case_or_default,source_case_or_default,source_case_or_default,source_case_or_default,,0,0,0,0,0,"{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_009\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}","{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_009\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}",true,true
265,EXACT11_EXACT10_EXACT9_A009_LOOKUP_policy_non_key_error,predecessor_exact11_regression,evaluate_admission_rule,'ADMIT_009',source_case_or_default_empty_mapping,source_case_or_default,source_case_or_default,source_case_or_default,source_case_or_default,,0,0,0,0,0,"{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_009\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}","{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_009\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}",true,true
266,EXACT11_EXACT10_EXACT9_A009_LOOKUP_candidate_non_key_error,predecessor_exact11_regression,evaluate_admission_rule,'ADMIT_009',source_case_or_default_empty_mapping,source_case_or_default,source_case_or_default,source_case_or_default,source_case_or_default,,0,0,0,0,0,"{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_009\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}","{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_009\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}",true,true
267,EXACT11_EXACT10_EXACT9_A009_CALL_formal_exactly_once,predecessor_exact11_regression,evaluate_admission_rule,'ADMIT_009',source_case_or_default_empty_mapping,source_case_or_default,source_case_or_default,source_case_or_default,source_case_or_default,,0,0,0,0,0,"{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_009\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}","{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_009\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}",true,true
268,EXACT11_EXACT10_EXACT9_A009_CALL_oracle_exactly_once,predecessor_exact11_regression,evaluate_admission_rule,'ADMIT_009',source_case_or_default_empty_mapping,source_case_or_default,source_case_or_default,source_case_or_default,source_case_or_default,,0,0,0,0,0,"{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_009\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}","{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_009\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}",true,true
269,EXACT11_EXACT10_EXACT9_A009_CALL_three_object_identity,predecessor_exact11_regression,evaluate_admission_rule,'ADMIT_009',source_case_or_default_empty_mapping,source_case_or_default,source_case_or_default,source_case_or_default,source_case_or_default,,0,0,0,0,0,"{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_009\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}","{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_009\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}",true,true
270,EXACT11_EXACT10_EXACT9_A009_CALL_lookup_and_no_copy,predecessor_exact11_regression,evaluate_admission_rule,'ADMIT_009',source_case_or_default_empty_mapping,source_case_or_default,source_case_or_default,source_case_or_default,source_case_or_default,,0,0,0,0,0,"{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_009\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}","{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_009\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}",true,true
271,EXACT11_EXACT10_EXACT9_A009_SOURCE_wrong_type,predecessor_exact11_regression,evaluate_admission_rule,'ADMIT_009',source_case_or_default_empty_mapping,source_case_or_default,source_case_or_default,source_case_or_default,source_case_or_default,,0,0,0,0,0,"{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_009\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}","{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_009\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}",true,true
272,EXACT11_EXACT10_EXACT9_A009_SOURCE_subclass,predecessor_exact11_regression,evaluate_admission_rule,'ADMIT_009',source_case_or_default_empty_mapping,source_case_or_default,source_case_or_default,source_case_or_default,source_case_or_default,,0,0,0,0,0,"{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_009\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}","{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_009\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}",true,true
273,EXACT11_EXACT10_EXACT9_A009_SOURCE_storage_order,predecessor_exact11_regression,evaluate_admission_rule,'ADMIT_009',source_case_or_default_empty_mapping,source_case_or_default,source_case_or_default,source_case_or_default,source_case_or_default,,0,0,0,0,0,"{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_009\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}","{""default_dispatch"":""{\""adapter_ready\"":true,\""admission_rule_id\"":\""ADMIT_009\"",\""callable_discovered\"":true,\""code\"":\""UNIFIED_ADMISSION_CONTEXT_ROUTING_INVALID\"",\""known_rule\"":true,\""reason\"":\""ADMIT_009_BATCH_CONTEXT_MAPPING_REQUIRED\""}"",""source_case_passed"":true}",true,true
