case_order,case_id,case_group,scope_id_representation,vector_type,input_rule_ids,input_outcomes,expected_outcome,observed_outcome,expected_reason,observed_reason,required_rule_ids,evaluated_rule_ids,invalid_rule_ids,blocked_rule_ids,failing_rule_ids,rule_evaluations_retained,input_tuple_identity_retained,aggregation_io_used,dispatcher_calls,handler_calls,current_permission,authorized_execution_count,case_passed
31,download_execution_permission__all_invalid,all_invalid_full_collection,download_execution_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,invalid|invalid|invalid|invalid|invalid|invalid|invalid|invalid|invalid|invalid|invalid,invalid,invalid,COMBINED_ADMISSION_REQUIRED_RULE_INVALID,COMBINED_ADMISSION_REQUIRED_RULE_INVALID,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,true,true,false,0,0,false,0,true
32,download_execution_permission__extra,extra_rule,download_execution_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014|ADMIT_010,passed|passed|passed|passed|passed|passed|passed|passed|passed|passed|passed|passed,invalid,invalid,COMBINED_ADMISSION_RULE_MEMBERSHIP_INVALID,COMBINED_ADMISSION_RULE_MEMBERSHIP_INVALID,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014|ADMIT_010,,,,false,false,false,0,0,false,0,true
33,download_execution_permission__duplicate,duplicate_rule,download_execution_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014|ADMIT_001,passed|passed|passed|passed|passed|passed|passed|passed|passed|passed|passed|passed,invalid,invalid,COMBINED_ADMISSION_RULE_MEMBERSHIP_INVALID,COMBINED_ADMISSION_RULE_MEMBERSHIP_INVALID,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014|ADMIT_001,,,,false,false,false,0,0,false,0,true
34,download_execution_permission__reorder,reordered_rule,download_execution_permission,tuple,ADMIT_002|ADMIT_001|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,passed|passed|passed|passed|passed|passed|passed|passed|passed|passed|passed,invalid,invalid,COMBINED_ADMISSION_RULE_MEMBERSHIP_INVALID,COMBINED_ADMISSION_RULE_MEMBERSHIP_INVALID,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_002|ADMIT_001|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,,,,false,false,false,0,0,false,0,true
35,download_execution_permission__unknown,unknown_rule,download_execution_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_999,passed|passed|passed|passed|passed|passed|passed|passed|passed|passed|passed,invalid,invalid,COMBINED_ADMISSION_RULE_MEMBERSHIP_INVALID,COMBINED_ADMISSION_RULE_MEMBERSHIP_INVALID,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_999,,,,false,false,false,0,0,false,0,true
36,download_execution_permission__scope_external_substitution,scope_external_substitution,download_execution_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_010,passed|passed|passed|passed|passed|passed|passed|passed|passed|passed|passed,invalid,invalid,COMBINED_ADMISSION_RULE_MEMBERSHIP_INVALID,COMBINED_ADMISSION_RULE_MEMBERSHIP_INVALID,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_014,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_010,,,,false,false,false,0,0,false,0,true
37,post_download_acceptance_permission__all_pass,canonical_all_pass,post_download_acceptance_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,passed|passed|passed|passed|passed|passed|passed|passed|passed|passed|passed|passed|passed,passed,passed,,,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,,,,true,true,false,0,0,false,0,true
38,post_download_acceptance_permission__ADMIT_001__blocked,every_required_rule_blocked,post_download_acceptance_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,blocked|passed|passed|passed|passed|passed|passed|passed|passed|passed|passed|passed|passed,blocked,blocked,COMBINED_ADMISSION_REQUIRED_RULE_BLOCKED,COMBINED_ADMISSION_REQUIRED_RULE_BLOCKED,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,,ADMIT_001,ADMIT_001,true,true,false,0,0,false,0,true
39,post_download_acceptance_permission__ADMIT_001__invalid,every_required_rule_invalid,post_download_acceptance_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,invalid|passed|passed|passed|passed|passed|passed|passed|passed|passed|passed|passed|passed,invalid,invalid,COMBINED_ADMISSION_REQUIRED_RULE_INVALID,COMBINED_ADMISSION_REQUIRED_RULE_INVALID,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,ADMIT_001,,ADMIT_001,true,true,false,0,0,false,0,true
40,post_download_acceptance_permission__ADMIT_002__blocked,every_required_rule_blocked,post_download_acceptance_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,passed|blocked|passed|passed|passed|passed|passed|passed|passed|passed|passed|passed|passed,blocked,blocked,COMBINED_ADMISSION_REQUIRED_RULE_BLOCKED,COMBINED_ADMISSION_REQUIRED_RULE_BLOCKED,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,,ADMIT_002,ADMIT_002,true,true,false,0,0,false,0,true
41,post_download_acceptance_permission__ADMIT_002__invalid,every_required_rule_invalid,post_download_acceptance_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,passed|invalid|passed|passed|passed|passed|passed|passed|passed|passed|passed|passed|passed,invalid,invalid,COMBINED_ADMISSION_REQUIRED_RULE_INVALID,COMBINED_ADMISSION_REQUIRED_RULE_INVALID,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,ADMIT_002,,ADMIT_002,true,true,false,0,0,false,0,true
42,post_download_acceptance_permission__ADMIT_003__blocked,every_required_rule_blocked,post_download_acceptance_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,passed|passed|blocked|passed|passed|passed|passed|passed|passed|passed|passed|passed|passed,blocked,blocked,COMBINED_ADMISSION_REQUIRED_RULE_BLOCKED,COMBINED_ADMISSION_REQUIRED_RULE_BLOCKED,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,,ADMIT_003,ADMIT_003,true,true,false,0,0,false,0,true
43,post_download_acceptance_permission__ADMIT_003__invalid,every_required_rule_invalid,post_download_acceptance_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,passed|passed|invalid|passed|passed|passed|passed|passed|passed|passed|passed|passed|passed,invalid,invalid,COMBINED_ADMISSION_REQUIRED_RULE_INVALID,COMBINED_ADMISSION_REQUIRED_RULE_INVALID,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,ADMIT_003,,ADMIT_003,true,true,false,0,0,false,0,true
44,post_download_acceptance_permission__ADMIT_004__blocked,every_required_rule_blocked,post_download_acceptance_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,passed|passed|passed|blocked|passed|passed|passed|passed|passed|passed|passed|passed|passed,blocked,blocked,COMBINED_ADMISSION_REQUIRED_RULE_BLOCKED,COMBINED_ADMISSION_REQUIRED_RULE_BLOCKED,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,,ADMIT_004,ADMIT_004,true,true,false,0,0,false,0,true
45,post_download_acceptance_permission__ADMIT_004__invalid,every_required_rule_invalid,post_download_acceptance_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,passed|passed|passed|invalid|passed|passed|passed|passed|passed|passed|passed|passed|passed,invalid,invalid,COMBINED_ADMISSION_REQUIRED_RULE_INVALID,COMBINED_ADMISSION_REQUIRED_RULE_INVALID,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,ADMIT_004,,ADMIT_004,true,true,false,0,0,false,0,true
46,post_download_acceptance_permission__ADMIT_005__blocked,every_required_rule_blocked,post_download_acceptance_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,passed|passed|passed|passed|blocked|passed|passed|passed|passed|passed|passed|passed|passed,blocked,blocked,COMBINED_ADMISSION_REQUIRED_RULE_BLOCKED,COMBINED_ADMISSION_REQUIRED_RULE_BLOCKED,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,,ADMIT_005,ADMIT_005,true,true,false,0,0,false,0,true
47,post_download_acceptance_permission__ADMIT_005__invalid,every_required_rule_invalid,post_download_acceptance_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,passed|passed|passed|passed|invalid|passed|passed|passed|passed|passed|passed|passed|passed,invalid,invalid,COMBINED_ADMISSION_REQUIRED_RULE_INVALID,COMBINED_ADMISSION_REQUIRED_RULE_INVALID,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,ADMIT_005,,ADMIT_005,true,true,false,0,0,false,0,true
48,post_download_acceptance_permission__ADMIT_006__blocked,every_required_rule_blocked,post_download_acceptance_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,passed|passed|passed|passed|passed|blocked|passed|passed|passed|passed|passed|passed|passed,blocked,blocked,COMBINED_ADMISSION_REQUIRED_RULE_BLOCKED,COMBINED_ADMISSION_REQUIRED_RULE_BLOCKED,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,,ADMIT_006,ADMIT_006,true,true,false,0,0,false,0,true
49,post_download_acceptance_permission__ADMIT_006__invalid,every_required_rule_invalid,post_download_acceptance_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,passed|passed|passed|passed|passed|invalid|passed|passed|passed|passed|passed|passed|passed,invalid,invalid,COMBINED_ADMISSION_REQUIRED_RULE_INVALID,COMBINED_ADMISSION_REQUIRED_RULE_INVALID,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,ADMIT_006,,ADMIT_006,true,true,false,0,0,false,0,true
50,post_download_acceptance_permission__ADMIT_007__blocked,every_required_rule_blocked,post_download_acceptance_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,passed|passed|passed|passed|passed|passed|blocked|passed|passed|passed|passed|passed|passed,blocked,blocked,COMBINED_ADMISSION_REQUIRED_RULE_BLOCKED,COMBINED_ADMISSION_REQUIRED_RULE_BLOCKED,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,,ADMIT_007,ADMIT_007,true,true,false,0,0,false,0,true
51,post_download_acceptance_permission__ADMIT_007__invalid,every_required_rule_invalid,post_download_acceptance_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,passed|passed|passed|passed|passed|passed|invalid|passed|passed|passed|passed|passed|passed,invalid,invalid,COMBINED_ADMISSION_REQUIRED_RULE_INVALID,COMBINED_ADMISSION_REQUIRED_RULE_INVALID,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,ADMIT_007,,ADMIT_007,true,true,false,0,0,false,0,true
52,post_download_acceptance_permission__ADMIT_008__blocked,every_required_rule_blocked,post_download_acceptance_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,passed|passed|passed|passed|passed|passed|passed|blocked|passed|passed|passed|passed|passed,blocked,blocked,COMBINED_ADMISSION_REQUIRED_RULE_BLOCKED,COMBINED_ADMISSION_REQUIRED_RULE_BLOCKED,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,,ADMIT_008,ADMIT_008,true,true,false,0,0,false,0,true
53,post_download_acceptance_permission__ADMIT_008__invalid,every_required_rule_invalid,post_download_acceptance_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,passed|passed|passed|passed|passed|passed|passed|invalid|passed|passed|passed|passed|passed,invalid,invalid,COMBINED_ADMISSION_REQUIRED_RULE_INVALID,COMBINED_ADMISSION_REQUIRED_RULE_INVALID,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,ADMIT_008,,ADMIT_008,true,true,false,0,0,false,0,true
54,post_download_acceptance_permission__ADMIT_009__blocked,every_required_rule_blocked,post_download_acceptance_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,passed|passed|passed|passed|passed|passed|passed|passed|blocked|passed|passed|passed|passed,blocked,blocked,COMBINED_ADMISSION_REQUIRED_RULE_BLOCKED,COMBINED_ADMISSION_REQUIRED_RULE_BLOCKED,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,,ADMIT_009,ADMIT_009,true,true,false,0,0,false,0,true
55,post_download_acceptance_permission__ADMIT_009__invalid,every_required_rule_invalid,post_download_acceptance_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,passed|passed|passed|passed|passed|passed|passed|passed|invalid|passed|passed|passed|passed,invalid,invalid,COMBINED_ADMISSION_REQUIRED_RULE_INVALID,COMBINED_ADMISSION_REQUIRED_RULE_INVALID,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,ADMIT_009,,ADMIT_009,true,true,false,0,0,false,0,true
56,post_download_acceptance_permission__ADMIT_011__blocked,every_required_rule_blocked,post_download_acceptance_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,passed|passed|passed|passed|passed|passed|passed|passed|passed|blocked|passed|passed|passed,blocked,blocked,COMBINED_ADMISSION_REQUIRED_RULE_BLOCKED,COMBINED_ADMISSION_REQUIRED_RULE_BLOCKED,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,,ADMIT_011,ADMIT_011,true,true,false,0,0,false,0,true
57,post_download_acceptance_permission__ADMIT_011__invalid,every_required_rule_invalid,post_download_acceptance_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,passed|passed|passed|passed|passed|passed|passed|passed|passed|invalid|passed|passed|passed,invalid,invalid,COMBINED_ADMISSION_REQUIRED_RULE_INVALID,COMBINED_ADMISSION_REQUIRED_RULE_INVALID,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,ADMIT_011,,ADMIT_011,true,true,false,0,0,false,0,true
58,post_download_acceptance_permission__ADMIT_012__blocked,every_required_rule_blocked,post_download_acceptance_permission,tuple,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,passed|passed|passed|passed|passed|passed|passed|passed|passed|passed|blocked|passed|passed,blocked,blocked,COMBINED_ADMISSION_REQUIRED_RULE_BLOCKED,COMBINED_ADMISSION_REQUIRED_RULE_BLOCKED,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,ADMIT_001|ADMIT_002|ADMIT_003|ADMIT_004|ADMIT_005|ADMIT_006|ADMIT_007|ADMIT_008|ADMIT_009|ADMIT_011|ADMIT_012|ADMIT_013|ADMIT_014,,ADMIT_012,ADMIT_012,true,true,false,0,0,false,0,true
