case_id,case_group,behavior,expected_dispatch_code,expected_reason,source_exact10_json,oracle_exact10_json,unified_exact13_json,formal_call_count,scope_oracle_call_count,atom_oracle_call_count,case_passed
C_INVALID_RESIDUE_004,standalone_exact22,Exact10 equals independent oracle and projects field-for-field,,COVALENT_RESIDUE_NAME_NON_ASCII,"{""admission_rule_id"":""ADMIT_005"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_RESIDUE_NAME_NON_ASCII"",""canonical_residue_name"":"""",""canonical_residue_atom_name"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_005"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_RESIDUE_NAME_NON_ASCII"",""canonical_residue_name"":"""",""canonical_residue_atom_name"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_005"",""admission_rule_name"":""cys_sg_scope_only_v1"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_RESIDUE_NAME_NON_ASCII"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_005_unified_adapter_v1""}",1,1,1,true
C_INVALID_RESIDUE_005,standalone_exact22,Exact10 equals independent oracle and projects field-for-field,,COVALENT_RESIDUE_NAME_SYNTAX_INVALID,"{""admission_rule_id"":""ADMIT_005"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_RESIDUE_NAME_SYNTAX_INVALID"",""canonical_residue_name"":"""",""canonical_residue_atom_name"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_005"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_RESIDUE_NAME_SYNTAX_INVALID"",""canonical_residue_name"":"""",""canonical_residue_atom_name"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_005"",""admission_rule_name"":""cys_sg_scope_only_v1"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_RESIDUE_NAME_SYNTAX_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_005_unified_adapter_v1""}",1,1,1,true
C_INVALID_ATOM_001,standalone_exact22,Exact10 equals independent oracle and projects field-for-field,,COVALENT_RESIDUE_ATOM_NAME_TYPE_INVALID,"{""admission_rule_id"":""ADMIT_005"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_RESIDUE_ATOM_NAME_TYPE_INVALID"",""canonical_residue_name"":""CYS"",""canonical_residue_atom_name"":"""",""validated_candidate_fields"":[[""covalent_residue_name"",""CYS""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_005"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_RESIDUE_ATOM_NAME_TYPE_INVALID"",""canonical_residue_name"":""CYS"",""canonical_residue_atom_name"":"""",""validated_candidate_fields"":[[""covalent_residue_name"",""CYS""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_005"",""admission_rule_name"":""cys_sg_scope_only_v1"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_RESIDUE_ATOM_NAME_TYPE_INVALID"",""normalized_values"":[[""covalent_residue_name"",""CYS""]],""validated_candidate_fields"":[[""covalent_residue_name"",""CYS""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_005_unified_adapter_v1""}",1,1,1,true
C_INVALID_ATOM_002,standalone_exact22,Exact10 equals independent oracle and projects field-for-field,,COVALENT_RESIDUE_ATOM_NAME_TYPE_INVALID,"{""admission_rule_id"":""ADMIT_005"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_RESIDUE_ATOM_NAME_TYPE_INVALID"",""canonical_residue_name"":""CYS"",""canonical_residue_atom_name"":"""",""validated_candidate_fields"":[[""covalent_residue_name"",""CYS""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_005"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_RESIDUE_ATOM_NAME_TYPE_INVALID"",""canonical_residue_name"":""CYS"",""canonical_residue_atom_name"":"""",""validated_candidate_fields"":[[""covalent_residue_name"",""CYS""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_005"",""admission_rule_name"":""cys_sg_scope_only_v1"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_RESIDUE_ATOM_NAME_TYPE_INVALID"",""normalized_values"":[[""covalent_residue_name"",""CYS""]],""validated_candidate_fields"":[[""covalent_residue_name"",""CYS""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_005_unified_adapter_v1""}",1,1,1,true
C_INVALID_ATOM_003,standalone_exact22,Exact10 equals independent oracle and projects field-for-field,,COVALENT_RESIDUE_ATOM_NAME_EMPTY,"{""admission_rule_id"":""ADMIT_005"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_RESIDUE_ATOM_NAME_EMPTY"",""canonical_residue_name"":""CYS"",""canonical_residue_atom_name"":"""",""validated_candidate_fields"":[[""covalent_residue_name"",""CYS""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_005"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_RESIDUE_ATOM_NAME_EMPTY"",""canonical_residue_name"":""CYS"",""canonical_residue_atom_name"":"""",""validated_candidate_fields"":[[""covalent_residue_name"",""CYS""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_005"",""admission_rule_name"":""cys_sg_scope_only_v1"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_RESIDUE_ATOM_NAME_EMPTY"",""normalized_values"":[[""covalent_residue_name"",""CYS""]],""validated_candidate_fields"":[[""covalent_residue_name"",""CYS""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_005_unified_adapter_v1""}",1,1,1,true
C_INVALID_ATOM_004,standalone_exact22,Exact10 equals independent oracle and projects field-for-field,,COVALENT_RESIDUE_ATOM_NAME_NON_ASCII,"{""admission_rule_id"":""ADMIT_005"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_RESIDUE_ATOM_NAME_NON_ASCII"",""canonical_residue_name"":""CYS"",""canonical_residue_atom_name"":"""",""validated_candidate_fields"":[[""covalent_residue_name"",""CYS""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_005"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_RESIDUE_ATOM_NAME_NON_ASCII"",""canonical_residue_name"":""CYS"",""canonical_residue_atom_name"":"""",""validated_candidate_fields"":[[""covalent_residue_name"",""CYS""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_005"",""admission_rule_name"":""cys_sg_scope_only_v1"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_RESIDUE_ATOM_NAME_NON_ASCII"",""normalized_values"":[[""covalent_residue_name"",""CYS""]],""validated_candidate_fields"":[[""covalent_residue_name"",""CYS""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_005_unified_adapter_v1""}",1,1,1,true
C_INVALID_ATOM_005,standalone_exact22,Exact10 equals independent oracle and projects field-for-field,,COVALENT_RESIDUE_ATOM_NAME_WHITESPACE_FORBIDDEN,"{""admission_rule_id"":""ADMIT_005"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_RESIDUE_ATOM_NAME_WHITESPACE_FORBIDDEN"",""canonical_residue_name"":""CYS"",""canonical_residue_atom_name"":"""",""validated_candidate_fields"":[[""covalent_residue_name"",""CYS""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_005"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_RESIDUE_ATOM_NAME_WHITESPACE_FORBIDDEN"",""canonical_residue_name"":""CYS"",""canonical_residue_atom_name"":"""",""validated_candidate_fields"":[[""covalent_residue_name"",""CYS""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_005"",""admission_rule_name"":""cys_sg_scope_only_v1"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_RESIDUE_ATOM_NAME_WHITESPACE_FORBIDDEN"",""normalized_values"":[[""covalent_residue_name"",""CYS""]],""validated_candidate_fields"":[[""covalent_residue_name"",""CYS""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_005_unified_adapter_v1""}",1,1,1,true
C_INVALID_ATOM_006,standalone_exact22,Exact10 equals independent oracle and projects field-for-field,,COVALENT_RESIDUE_ATOM_NAME_WHITESPACE_FORBIDDEN,"{""admission_rule_id"":""ADMIT_005"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_RESIDUE_ATOM_NAME_WHITESPACE_FORBIDDEN"",""canonical_residue_name"":""CYS"",""canonical_residue_atom_name"":"""",""validated_candidate_fields"":[[""covalent_residue_name"",""CYS""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_005"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_RESIDUE_ATOM_NAME_WHITESPACE_FORBIDDEN"",""canonical_residue_name"":""CYS"",""canonical_residue_atom_name"":"""",""validated_candidate_fields"":[[""covalent_residue_name"",""CYS""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_005"",""admission_rule_name"":""cys_sg_scope_only_v1"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_RESIDUE_ATOM_NAME_WHITESPACE_FORBIDDEN"",""normalized_values"":[[""covalent_residue_name"",""CYS""]],""validated_candidate_fields"":[[""covalent_residue_name"",""CYS""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_005_unified_adapter_v1""}",1,1,1,true
C_INVALID_ATOM_007,standalone_exact22,Exact10 equals independent oracle and projects field-for-field,,COVALENT_RESIDUE_ATOM_NAME_MARKER_FORBIDDEN,"{""admission_rule_id"":""ADMIT_005"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_RESIDUE_ATOM_NAME_MARKER_FORBIDDEN"",""canonical_residue_name"":""CYS"",""canonical_residue_atom_name"":"""",""validated_candidate_fields"":[[""covalent_residue_name"",""CYS""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_005"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_RESIDUE_ATOM_NAME_MARKER_FORBIDDEN"",""canonical_residue_name"":""CYS"",""canonical_residue_atom_name"":"""",""validated_candidate_fields"":[[""covalent_residue_name"",""CYS""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_005"",""admission_rule_name"":""cys_sg_scope_only_v1"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_RESIDUE_ATOM_NAME_MARKER_FORBIDDEN"",""normalized_values"":[[""covalent_residue_name"",""CYS""]],""validated_candidate_fields"":[[""covalent_residue_name"",""CYS""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_005_unified_adapter_v1""}",1,1,1,true
C_INVALID_ATOM_008,standalone_exact22,Exact10 equals independent oracle and projects field-for-field,,COVALENT_RESIDUE_ATOM_NAME_MARKER_FORBIDDEN,"{""admission_rule_id"":""ADMIT_005"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_RESIDUE_ATOM_NAME_MARKER_FORBIDDEN"",""canonical_residue_name"":""CYS"",""canonical_residue_atom_name"":"""",""validated_candidate_fields"":[[""covalent_residue_name"",""CYS""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_005"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_RESIDUE_ATOM_NAME_MARKER_FORBIDDEN"",""canonical_residue_name"":""CYS"",""canonical_residue_atom_name"":"""",""validated_candidate_fields"":[[""covalent_residue_name"",""CYS""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_005"",""admission_rule_name"":""cys_sg_scope_only_v1"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_RESIDUE_ATOM_NAME_MARKER_FORBIDDEN"",""normalized_values"":[[""covalent_residue_name"",""CYS""]],""validated_candidate_fields"":[[""covalent_residue_name"",""CYS""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_005_unified_adapter_v1""}",1,1,1,true
C_PRECEDENCE_001,standalone_exact22,Exact10 equals independent oracle and projects field-for-field,,COVALENT_RESIDUE_NAME_SYNTAX_INVALID,"{""admission_rule_id"":""ADMIT_005"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_RESIDUE_NAME_SYNTAX_INVALID"",""canonical_residue_name"":"""",""canonical_residue_atom_name"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_005"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_RESIDUE_NAME_SYNTAX_INVALID"",""canonical_residue_name"":"""",""canonical_residue_atom_name"":"""",""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""evaluator_io_used"":false}","{""schema_version"":""covapie_unified_admission_rule_evaluation_v1"",""admission_rule_id"":""ADMIT_005"",""admission_rule_name"":""cys_sg_scope_only_v1"",""outcome"":""invalid"",""passed"":false,""blocks_candidate"":true,""reason"":""COVALENT_RESIDUE_NAME_SYNTAX_INVALID"",""normalized_values"":[],""validated_candidate_fields"":[],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""consumed_context_items"":[],""evaluator_io_used"":false,""adapter_id"":""covapie_admit_005_unified_adapter_v1""}",1,1,1,true
D_WRONG_TYPE,source_fail_closed,wrong source type,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,ADMIT_005_UNIFIED_ADAPTER_SOURCE_TYPE_INVALID,,,,1,0,0,true
D_SUBCLASS,source_fail_closed,source subclass,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,ADMIT_005_UNIFIED_ADAPTER_SOURCE_TYPE_INVALID,,,,1,0,0,true
D_RULE_ID,source_fail_closed,source admission_rule_id mismatch,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,ADMIT_005_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID,"{""admission_rule_id"":""ADMIT_004"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""canonical_residue_name"":""CYS"",""canonical_residue_atom_name"":""SG"",""validated_candidate_fields"":[[""covalent_residue_name"",""CYS""],[""covalent_residue_atom_name"",""SG""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""evaluator_io_used"":false}",,,1,0,0,true
D_FIELD_INVARIANT,source_fail_closed,source/result field invariant mismatch,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,ADMIT_005_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID,"{""admission_rule_id"":""ADMIT_005"",""outcome"":""passed"",""passed"":false,""blocks_candidate"":false,""reason"":"""",""canonical_residue_name"":""CYS"",""canonical_residue_atom_name"":""SG"",""validated_candidate_fields"":[[""covalent_residue_name"",""CYS""],[""covalent_residue_atom_name"",""SG""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""evaluator_io_used"":false}",,,1,0,0,true
D_ORACLE_MISMATCH,source_fail_closed,source/input oracle mismatch,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,ADMIT_005_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID,"{""admission_rule_id"":""ADMIT_005"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""canonical_residue_name"":""CYS"",""canonical_residue_atom_name"":""SG"",""validated_candidate_fields"":[[""covalent_residue_name"",""CYS""],[""covalent_residue_atom_name"",""SG""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""evaluator_io_used"":false}","{""admission_rule_id"":""ADMIT_005"",""outcome"":""rejected"",""passed"":false,""blocks_candidate"":true,""reason"":""ADMIT_005_CYS_SG_SCOPE_REJECTED"",""canonical_residue_name"":""SER"",""canonical_residue_atom_name"":""CA"",""validated_candidate_fields"":[[""covalent_residue_name"",""SER""],[""covalent_residue_atom_name"",""CA""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""evaluator_io_used"":false}",,1,1,1,true
D_IO_TRUE,source_fail_closed,evaluator_io_used true,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,ADMIT_005_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID,"{""admission_rule_id"":""ADMIT_005"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""canonical_residue_name"":""CYS"",""canonical_residue_atom_name"":""SG"",""validated_candidate_fields"":[[""covalent_residue_name"",""CYS""],[""covalent_residue_atom_name"",""SG""]],""consumed_candidate_fields"":[""covalent_residue_name"",""covalent_residue_atom_name""],""evaluator_io_used"":true}",,,1,0,0,true
D_CONSUMED_FIELDS,source_fail_closed,consumed fields mismatch,UNIFIED_ADMISSION_RULE_ADAPTER_NOT_READY,ADMIT_005_UNIFIED_ADAPTER_SOURCE_INVARIANT_INVALID,"{""admission_rule_id"":""ADMIT_005"",""outcome"":""passed"",""passed"":true,""blocks_candidate"":false,""reason"":"""",""canonical_residue_name"":""CYS"",""canonical_residue_atom_name"":""SG"",""validated_candidate_fields"":[[""covalent_residue_name"",""CYS""],[""covalent_residue_atom_name"",""SG""]],""consumed_candidate_fields"":[""covalent_residue_name""],""evaluator_io_used"":false}",,,1,0,0,true
E_NOT_REGISTERED,boundary,frozen Phase 4 evidence says not registered,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,UNIFIED_ADMISSION_RULE_NOT_REGISTERED,,,,0,0,0,true
E_REGISTRY_EXACT4,boundary,current registry remains ADMIT_001 through ADMIT_004,,,,,,0,0,0,true
